Date,Spread,CRUDOIL,NAFCNWE,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-10-29,0.10264298051281884,35.99,327.0,4.3125974732361705,0.10974726917274367,1.0,1.0,-0.10974726917274367,-0.00921601422837401,4.399206472769071
2020-10-30,0.1643064138508521,35.61,323.0,4.31275975272179,0.10973898943080232,-1.0,-1.0,0.10973898943080232,-0.02752246708928931,4.371684005679782
2020-11-02,0.8127747755868526,36.63,326.3,4.310658727692225,0.10976777574138262,-1.0,-1.0,0.10976777574138262,-0.019504607841384747,4.352179397838397
2020-11-03,0.4493712947847186,37.48,337.3,4.309410984347133,0.10978543938694123,-1.0,-1.0,0.10978543938694123,-0.033668002350279266,4.318511395488118
2020-11-04,-0.11201633342695061,38.97,356.0,4.309303360838807,0.10978094475681727,-1.0,-1.0,0.10978094475681727,0.009237875288683584,4.327749270776802
2020-11-05,-0.47767526855722053,38.61,356.0,4.30680186313871,0.10979684064201467,1.0,1.0,-0.10979684064201467,-0.03749193517629481,4.290257335600507
2020-11-06,-0.2690152894387836,36.96,339.0,4.303488293520213,0.10982010409863947,1.0,1.0,-0.10982010409863947,0.08360750718009512,4.373864842780602
2020-11-09,2.3290812957497167,40.11,344.0,4.306883856895643,0.1098282520472392,1.0,1.0,-0.1098282520472392,0.022845421147413156,4.396710263928015
2020-11-10,2.0685370497251654,41.18,356.0,4.30783770508484,0.10986365997268212,-1.0,-1.0,0.10986365997268212,0.004140891667189892,4.400851155595205
2020-11-11,-0.09342602012759471,41.27,376.5,4.307529913601873,0.10986301731773598,-1.0,-1.0,0.10986301731773598,0.00682891972059683,4.407680075315802
2020-11-12,0.01675668792140783,40.94,372.5,4.307364221478287,0.10986105587135192,1.0,1.0,-0.10986105587135192,-0.02049511674690632,4.387184958568895
2020-11-13,0.37859569652601976,39.95,360.0,4.297273632788303,0.10992056750964996,-1.0,-1.0,0.10992056750964996,-0.031203864554027964,4.355981094014867
2020-11-16,1.8916487703815292,41.16,357.0,4.289159565379912,0.10999538159556994,-1.0,-1.0,0.10999538159556994,-0.0021865889212828726,4.353794505093584
2020-11-17,1.959385447400912,41.25,357.0,4.2847530042348625,0.11005774384481537,-1.0,-1.0,0.11005774384481537,-0.007296550477196069,4.346497954616387
2020-11-18,1.5614649860595478,41.64,364.0,4.2820340253302485,0.11010586542291333,-1.0,-1.0,0.11010586542291333,0.003131184152022591,4.349629138768409
2020-11-19,1.0282051516575095,41.56,368.0,4.279984331127948,0.11014074687049591,-1.0,-1.0,0.11014074687049591,-0.008967368529534671,4.340661770238874
2020-11-20,1.1003077901970428,41.97,371.0,4.279934753096324,0.11016089544421283,-1.0,-1.0,0.11016089544421283,-0.018712857546307107,4.321948912692568
2020-11-23,0.9003548651024502,42.88,381.0,4.2793010871329,0.11018279562965237,-1.0,-1.0,0.11018279562965237,-0.04019573508915837,4.2817531776034095
2020-11-24,1.538403852188111,44.74,392.0,4.279852180432727,0.11020815343829564,-1.0,-1.0,0.11020815343829564,-0.016929406594973332,4.2648237710084365
2020-11-25,2.1849065307760043,45.51,393.0,4.28149262885297,0.11024196811507378,-1.0,-1.0,0.11024196811507378,-0.0008415417413364424,4.2639822292671
2020-11-26,2.4959914470804208,45.51,390.0,4.2822833972151715,0.11029232962287071,-1.0,-1.0,0.11029232962287071,0.0,4.2639822292671
2020-11-27,2.4823266245431697,45.51,390.0,4.284714929433932,0.11032736762937648,-1.0,-1.0,0.11032736762937648,0.003169661387374502,4.267151890654475
2020-11-30,2.519299095461214,45.34,388.0,4.287198674908575,0.11036263119726492,-1.0,-1.0,0.11036263119726492,0.017139468477660066,4.284291359132135
2020-12-01,1.8340472436549788,44.55,387.0,4.288901872150724,0.11037713890528429,-1.0,-1.0,0.11037713890528429,-0.014960021826583342,4.269331337305552
2020-12-02,2.0050751482781095,45.28,392.0,4.290858131701222,0.11039521645847422,-1.0,-1.0,0.11039521645847422,-0.0065424277845899026,4.262788909520962
2020-12-03,1.8110784897622025,45.64,397.0,4.2925780456049365,0.11040030607112795,-1.0,-1.0,0.11040030607112795,-0.013584574934268234,4.249204334586694
2020-12-04,2.426196008647736,46.26,397.0,4.295557005467188,0.11041260451222233,-1.0,-1.0,0.11041260451222233,0.015814586894425265,4.265018921481119
2020-12-07,-0.05442775980953485,45.76,415.0,4.295551433481096,0.11039621146942057,-1.0,-1.0,0.11039621146942057,0.004028533431295814,4.269047454912415
2020-12-08,-0.43126059325597055,45.6,417.0,4.295416121607804,0.11038671605097355,1.0,1.0,-0.11038671605097355,-0.0006955205831283614,4.268351934329287
2020-12-09,-0.06704210456085491,45.52,413.0,4.2952723518453695,0.11038024722653961,1.0,1.0,-0.11038024722653961,0.02634381799189137,4.294695752321179
2020-12-10,0.6440100912959181,46.78,418.0,4.295529459057749,0.11037318159977053,1.0,1.0,-0.11037318159977053,-0.004489097905087669,4.290206654416091
2020-12-11,0.4380489488525683,46.57,418.0,4.295662740818525,0.11036351926111826,-1.0,-1.0,0.11036351926111826,-0.009546736670730818,4.28065991774536
2020-12-14,1.0834373547241256,46.99,416.0,4.296157296929622,0.11035231405114393,-1.0,-1.0,0.11035231405114393,-0.011019678023998076,4.269640239721362
2020-12-15,0.7172292088983951,47.62,425.0,4.296103160748193,0.11035946068494494,-1.0,-1.0,0.11035946068494494,0.000214462425717675,4.26985470214708
2020-12-16,-0.9452492235384042,47.82,442.0,4.296427379213562,0.11032861815280182,-1.0,-1.0,0.11032861815280182,-0.007298550166391729,4.262556151980688
2020-12-17,-2.149354499391663,48.36,458.0,4.298377494123536,0.11028243340478529,1.0,1.0,-0.11028243340478529,0.014579528380741398,4.277135680361429
2020-12-18,-1.721278581701732,49.1,461.0,4.299585709770673,0.11024138520976515,1.0,1.0,-0.11024138520976515,-0.0170358734732789,4.26009980688815
2020-12-21,-0.0845183348555949,47.97,436.0,4.299491964323097,0.11021678517168715,1.0,1.0,-0.11021678517168715,-0.02338602196577538,4.236713784922375
2020-12-22,-1.3669586882358686,46.87,437.8,4.300220959510886,0.11018035333082656,1.0,1.0,-0.11018035333082656,0.02335423361342627,4.260068018535802
2020-12-23,-0.5494117975355692,48.0,440.8,4.299875021627381,0.11013931895992643,1.0,1.0,-0.11013931895992643,0.0016990639041005013,4.261767082439902
2020-12-24,0.2161000104058033,48.0,434.0,4.298975408516421,0.1101011520497562,1.0,1.0,-0.1101011520497562,0.0,4.261767082439902
2020-12-25,0.2185630557648821,48.0,434.0,4.298901530658299,0.11009547683003483,-1.0,-1.0,0.11009547683003483,0.010624999999999996,4.272392082439902
2020-12-28,-0.28505265216695364,47.49,434.0,4.298852194597111,0.11008076647964736,-1.0,-1.0,0.11008076647964736,-0.007628877877745189,4.264763204562157
2020-12-29,-0.1534242334237561,47.88,436.3,4.297168660940088,0.1100926523800682,1.0,1.0,-0.1100926523800682,0.00653742516718023,4.271300629729337
