Date,Spread,LCPCASH,JETCNWE,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-08-22,-22.785556685251322,5660.5,610.5,626.01881154865,9.309231051081493,1.0,1.0,-9.309231051081493,0.12122106868559909,2.3832271933618334
2019-08-23,5.053771780811985,5613.0,602.0,618.5568231590607,9.315525296045163,1.0,1.0,-9.315525296045163,0.0,2.3832271933618334
2019-08-26,1.8474071559048753,5613.0,602.0,612.4008380924047,9.320851483129726,-1.0,-1.0,9.320851483129726,0.11905072640522993,2.5022779197670633
2019-08-27,-29.438034043293555,5661.75,610.25,606.2704032624947,9.325994320431452,-1.0,-1.0,9.325994320431452,0.07442424215859016,2.5767021619256534
2019-08-28,-67.91875068278387,5673.0,615.25,600.001499782644,9.331034133576244,1.0,1.0,-9.331034133576244,-0.027557867460607233,2.549144294465046
2019-08-29,-55.512532621731225,5710.25,617.5,592.1756496354177,9.337267259306447,1.0,1.0,-9.337267259306447,0.16056791592613107,2.709712210391177
2019-08-30,-8.34612869569628,5655.75,606.25,585.6848681347824,9.342838975168158,1.0,1.0,-9.342838975168158,0.10457501528290213,2.814287225674079
2019-09-02,-3.42893452565022,5593.5,598.75,580.1792355835867,9.34768924346664,1.0,1.0,-9.34768924346664,0.12719004801090975,2.941477273684989
2019-09-03,61.47872682955676,5584.5,590.5,574.3912646516845,9.35312662687628,1.0,1.0,-9.35312662687628,-0.37095872404022684,2.570518549644762
2019-09-04,-35.60672365493974,5724.25,615.5,568.6155129209307,9.358012548586418,-1.0,-1.0,9.358012548586418,0.020409240116094206,2.590927789760856
2019-09-05,38.611784603349406,5825.0,618.0,563.1908682815398,9.363087727179046,1.0,1.0,-9.363087727179046,-0.07088168591710335,2.5200461038437525
2019-09-06,-22.467606725632322,5809.25,622.5,557.2804604742848,9.368221054980935,-1.0,-1.0,9.368221054980935,0.1726188805565532,2.692664984400306
2019-09-09,-149.7835598273141,5790.0,633.75,551.689485324836,9.37243954213383,1.0,1.0,-9.37243954213383,-0.009969019212670812,2.682695965187635
2019-09-10,-152.00263417752922,5796.5,634.5,547.9865238555809,9.375102654338107,1.0,1.0,-9.375102654338107,0.1968951483391394,2.879591113526774
2019-09-11,-81.11905658060459,5738.75,620.5,542.9818299401372,9.379321606092835,1.0,1.0,-9.379321606092835,0.08303918418475588,2.96263029771153
2019-09-12,24.55386948857631,5803.25,615.75,537.1642826467479,9.38480898174815,1.0,1.0,-9.38480898174815,0.048020214101890085,3.01065051181342
2019-09-13,180.35406270801923,5949.25,614.25,530.7031292369662,9.391771977683323,-1.0,-1.0,9.391771977683323,1.0650439803867222,4.075694492200142
2019-09-16,-570.3186355843145,5844.0,682.75,524.48432360128,9.394827734286803,-1.0,-1.0,9.394827734286803,-0.32780093246819747,3.7478935597319447
2019-09-17,-397.5777697546109,5789.5,658.25,517.4107398184419,9.3992825974244,1.0,1.0,-9.3992825974244,0.01616491522176248,3.7640584749537074
2019-09-18,-399.5556552609123,5779.75,657.0,508.027101580374,9.405335852756336,1.0,1.0,-9.405335852756336,-0.13915558302305078,3.6249028919306565
2019-09-19,-510.49667360675994,5761.5,666.5,499.621386528892,9.410347597309467,1.0,1.0,-9.410347597309467,-0.04794136880657123,3.576961523124085
2019-09-20,-538.8791074735873,5770.0,670.0,489.69491688736156,9.416237473841175,1.0,1.0,-9.416237473841175,0.0914422020777641,3.6684037252018493
2019-09-23,-498.833847582393,5750.25,663.25,480.4487913111501,9.421913075887513,1.0,1.0,-9.421913075887513,0.28108377185424044,3.9494874970560896
2019-09-24,-314.3651685482291,5753.25,643.5,469.9052151778215,9.429083401007349,1.0,1.0,-9.429083401007349,-0.05429623296617121,3.8951912640899184
2019-09-25,-350.61046403807086,5757.0,647.25,459.1117962401479,9.436246371630855,1.0,1.0,-9.436246371630855,-0.02200771258396045,3.873183551505958
2019-09-26,-425.5946757112688,5693.25,648.0,449.27066115517476,9.442661536591464,1.0,1.0,-9.442661536591464,-0.07623624536986744,3.7969473061360905
2019-09-27,-440.5924019938975,5736.25,653.75,440.4895042629352,9.448324897887415,1.0,1.0,-9.448324897887415,0.19518753804060554,3.992134844176696
2019-09-30,-352.51660791423,5695.25,639.75,433.33182379443906,9.453328031128144,1.0,1.0,-9.453328031128144,-0.03288244171480266,3.9592524024618934
2019-10-01,-411.8900221499043,5655.25,641.5,426.8784588849757,9.457739707170544,1.0,1.0,-9.457739707170544,0.21898133120901592,4.1782337336709094
2019-10-02,-285.478742315564,5643.0,626.5,420.11589805658474,9.462855135379991,1.0,1.0,-9.462855135379991,-0.010166016803895284,4.168067716867014
2019-10-03,-308.7873843543475,5628.25,627.0,411.61428394352725,9.468959145700714,1.0,1.0,-9.468959145700714,0.030381597264349275,4.198449314131364
2019-10-04,-311.1401242699767,5608.0,624.75,404.17143694502465,9.47441396441773,1.0,1.0,-9.47441396441773,0.025122063128915434,4.223571377260279
2019-10-07,-231.09342085211392,5685.1,624.0,395.2028159188206,9.481079200083517,1.0,1.0,-9.481079200083517,0.060616047820510444,4.284187425080789
2019-10-08,-236.26149606642957,5641.0,619.5,387.35359226936254,9.487104916975673,1.0,1.0,-9.487104916975673,-0.0402968099207971,4.243890615159993
2019-10-09,-255.8580856988201,5651.25,622.25,379.3944231533461,9.493142765285368,1.0,1.0,-9.493142765285368,-0.08177947663266143,4.162111138527331
2019-10-10,-222.4062839882281,5749.5,628.75,373.29495187543836,9.498061684275513,1.0,1.0,-9.498061684275513,-0.15240418221540752,4.009706956311923
2019-10-11,-308.38574838753266,5763.5,639.0,367.9524322511348,9.502168620324777,1.0,1.0,-9.502168620324777,0.28276675604267093,4.292473712354594
2019-10-14,-111.06862895432187,5786.25,620.25,361.3426221393839,9.507970381224219,1.0,1.0,-9.507970381224219,-0.06168868525229987,4.230785027102295
2019-10-15,-195.02297227947474,5739.75,623.75,352.66659550363204,9.514666087822805,1.0,1.0,-9.514666087822805,-0.09086579992385407,4.13991922717844
2019-10-16,-290.8509336324423,5699.75,629.25,345.231594078784,9.520223970810397,1.0,1.0,-9.520223970810397,-0.02423964611454097,4.115679581063899
2019-10-17,-298.56063732006623,5712.5,631.0,336.7637652118705,9.52624506706825,1.0,1.0,-9.52624506706825,0.00887343732496258,4.124553018388862
2019-10-18,-232.69845766487833,5784.75,631.25,328.02152938248594,9.532591616102778,1.0,1.0,-9.532591616102778,0.05622490550940802,4.18077792389827
2019-10-21,-182.9098138898953,5804.25,627.75,322.14202273716916,9.537490742954832,1.0,1.0,-9.537490742954832,-0.05554492765936017,4.12523299623891
2019-10-22,-231.35961137697177,5790.5,631.25,320.0961854853111,9.53957958237936,1.0,1.0,-9.53957958237936,-0.05986690565127337,4.065366090587636
2019-10-23,-209.7529221758823,5859.5,636.0,316.6250402781243,9.542850506565852,1.0,1.0,-9.542850506565852,-0.07433975753939098,3.991026333048245
2019-10-24,-255.73935814647484,5863.5,641.0,312.60083417626237,9.546395254518682,1.0,1.0,-9.546395254518682,-0.03726013976695965,3.9537661932812855
2019-10-25,-243.96797023363342,5907.0,644.0,306.7354198694669,9.551192500362784,1.0,1.0,-9.551192500362784,0.0930582968852823,4.046824490166568
2019-10-28,-203.59891986110324,5887.25,637.5,303.6321536694396,9.554272815468398,1.0,1.0,-9.554272815468398,0.044441823446082676,4.091266313612651
2019-10-29,-161.65556418216147,5906.25,634.75,297.46181305668057,9.55952038469029,1.0,1.0,-9.55952038469029,0.16912986661935656,4.260396180232007
2019-10-30,-77.97114753091046,5882.25,623.25,294.2229218981644,9.563130601734313,1.0,1.0,-9.563130601734313,0.14194387145130438,4.4023400516833116
2019-10-31,-91.19478995077407,5769.5,612.75,293.3371215191385,9.56457738058062,1.0,1.0,-9.56457738058062,-0.2358797286457422,4.166460323037569
2019-11-01,-185.33501571694615,5827.0,628.5,292.1808386502076,9.566165498356318,1.0,1.0,-9.566165498356318,0.2443156095292895,4.4107759325668585
2019-11-04,-9.188734766332345,5853.75,612.75,291.0449524791172,9.5682394692229,1.0,1.0,-9.5682394692229,-0.2942046693785363,4.116571263188322
2019-11-05,-136.44381713834355,5914.0,632.25,290.1909711644188,9.569701569218417,1.0,1.0,-9.569701569218417,0.1016398162946624,4.218211079482985
2019-11-06,-95.50989396113346,5888.5,625.25,289.8679110185882,9.570587595299694,1.0,1.0,-9.570587595299694,0.12039387974370047,4.338604959226685
2019-11-07,49.040003811213865,5966.5,618.25,289.7329418379975,9.571306099779678,1.0,1.0,-9.571306099779678,-0.044176733669512726,4.294428225557172
2019-11-08,-27.819499997659477,5910.75,620.5,289.97694030086615,9.570619661559483,-1.0,-1.0,9.570619661559483,-0.029847173158265405,4.264581052398906
2019-11-11,-54.72818516082498,5859.25,618.0,290.3035779772047,9.569543988933374,1.0,1.0,-9.569543988933374,0.07864928004058544,4.343230332439492
2019-11-12,-18.817398207282167,5843.75,612.75,290.3207288950713,9.567633452806662,1.0,1.0,-9.567633452806662,-0.130603862619851,4.212626469819641
2019-11-13,-127.00419614220027,5810.5,620.75,290.67561176508127,9.565049047349497,1.0,1.0,-9.565049047349497,-0.003915325703467865,4.208711144116173
2019-11-14,-148.37831934041333,5787.75,620.75,291.25761094267995,9.562832572437234,1.0,1.0,-9.562832572437234,-0.1090172641203043,4.099693879995869
2019-11-15,-179.81340658760564,5825.5,628.25,291.10066221316043,9.558795712833435,1.0,1.0,-9.558795712833435,0.3024966870588206,4.40219056705469
