Date,Spread,LCPCASH,GOEUARA,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-08-21,2277.0389152138196,6511.5,346.25,1120.3614412354195,12.229490497577418,-1.0,-1.0,12.229490497577418,0.3144614219606583,2.9893397834710083
2020-08-24,2179.5331279427664,6533.75,355.25,1120.1275216128101,12.256768112757872,-1.0,-1.0,12.256768112757872,0.23097407630054348,3.2203138597715517
2020-08-25,2099.191816831627,6546.25,362.0,1119.3418045293388,12.284691113724788,-1.0,-1.0,12.284691113724788,-0.1632124445649667,3.057101415206585
2020-08-26,2212.21943122055,6615.0,357.5,1118.3104177013931,12.315470122459999,-1.0,-1.0,12.315470122459999,-0.3569935598013619,2.700107855405223
2020-08-27,2353.0584016539615,6640.75,347.25,1117.6241805130194,12.347563998116742,-1.0,-1.0,12.347563998116742,0.08923916258205843,2.7893470179872817
2020-08-28,2364.870163430518,6697.5,350.0,1117.1664537172574,12.378942390198521,-1.0,-1.0,12.378942390198521,0.0,2.7893470179872817
2020-08-31,2354.254652180637,6697.5,350.0,1117.0118750636414,12.409272422341036,-1.0,-1.0,12.409272422341036,-0.028271029290874307,2.7610759886964074
2020-09-01,2364.9092376913322,6708.75,349.25,1117.5659209969228,12.437625661585304,-1.0,-1.0,12.437625661585304,-0.48981936070187165,2.2712566279945356
2020-09-02,2523.01421470521,6709.75,335.5,1114.9579681758644,12.479093249760924,-1.0,-1.0,12.479093249760924,-0.39829224171203226,1.8729643862825034
2020-09-03,2516.137233369948,6574.5,324.25,1113.4587517690948,12.51615348228235,-1.0,-1.0,12.51615348228235,-0.23587769262292985,1.6370866936595736
2020-09-04,2728.0495035440495,6729.5,318.75,1113.2182101993733,12.553570184959845,-1.0,-1.0,12.553570184959845,-0.228684328126597,1.4084023655329765
2020-09-07,2865.5528730228148,6810.75,313.25,1112.789639518356,12.594404236160209,-1.0,-1.0,12.594404236160209,-0.6363825171274534,0.7720198484055231
2020-09-08,2942.7155184231096,6695.25,297.0,1112.8069817668331,12.634796234265623,0.0,0.0,-0.0,0.0,0.7720198484055231
2020-09-09,2880.0101414925957,6758.5,306.0,1112.565866804643,12.674803459174523,0.0,0.0,-0.0,0.0,0.7720198484055231
2020-09-10,2885.842315130867,6690.0,299.25,1113.0064213311623,12.712306382185908,0.0,0.0,-0.0,0.0,0.7720198484055231
2020-09-11,2855.8340667537423,6770.25,307.0,1113.1141260957268,12.750540499173479,0.0,0.0,-0.0,0.0,0.7720198484055231
2020-09-14,2894.251409128914,6814.5,306.5,1112.860634296265,12.79037060643095,0.0,0.0,-0.0,-0.0,0.7720198484055231
2020-09-15,2826.2391359372523,6777.75,308.0,1112.3823655412057,12.829580727476454,0.0,0.0,-0.0,0.0,0.7720198484055231
2020-09-16,2785.333877260013,6793.4,311.5,1112.1201846610882,12.86698594780092,0.0,0.0,-0.0,0.0,0.7720198484055231
2020-09-17,2618.4462314587554,6806.25,324.5,1110.5301855022985,12.90540452555083,0.0,0.0,-0.0,0.0,0.7720198484055231
2020-09-18,2695.2783144817413,6852.75,321.25,1110.0512950641767,12.941546102780572,-1.0,-1.0,12.941546102780572,-0.594755093026854,0.17726475537866904
2020-09-21,2747.2888099915494,6718.5,306.0,1109.5839526185955,12.977814346432845,-1.0,-1.0,12.977814346432845,-0.08754095240455961,0.08972380297410942
2020-09-22,2847.6673517821127,6808.0,304.25,1108.9462114185956,13.016705499483606,-1.0,-1.0,13.016705499483606,0.06012773569128143,0.14985153866539086
2020-09-23,2635.6671892432946,6617.1,305.0,1107.5253494430806,13.053878068054773,0.0,0.0,-0.0,-0.0,0.14985153866539086
2020-09-24,2478.881669137733,6527.25,309.25,1105.1526232147055,13.090924271179523,-1.0,-1.0,13.090924271179523,0.2514899898423313,0.40134152850772215
2020-09-25,2404.4489664106522,6543.55,315.25,1101.9737984398278,13.129582977285798,-1.0,-1.0,13.129582977285798,0.2682755362734018,0.6696170647811239
2020-09-28,2322.983052506612,6559.5,321.75,1099.0096495218359,13.16710783991729,-1.0,-1.0,13.16710783991729,-0.3602903901259141,0.30932667465520985
2020-09-29,2440.2410348520443,6574.0,313.0,1095.9294660692287,13.20689765222989,-1.0,-1.0,13.20689765222989,0.3443550174464787,0.6536816921016886
2020-09-30,2410.0291857435905,6668.0,321.5,1093.6325988810777,13.244077182757106,-1.0,-1.0,13.244077182757106,-0.37826636921911133,0.27541532288257725
2020-10-01,2241.268480321579,6374.75,311.25,1090.5050597095756,13.280261910613401,-1.0,-1.0,13.280261910613401,-0.3469877613520687,-0.07157243846949146
2020-10-02,2500.7119825603727,6546.75,303.75,1087.438107519516,13.320289769348568,-1.0,-1.0,13.320289769348568,0.7066091884612615,0.6350367499917701
2020-10-05,2242.400880025898,6514.25,319.75,1083.3739295775076,13.359965973335738,-1.0,-1.0,13.359965973335738,0.5745866285624123,1.2096233785541823
2020-10-06,2045.392019498362,6513.75,333.5,1079.1543268744938,13.398374754127849,-1.0,-1.0,13.398374754127849,-0.08367456816533539,1.1259488103888469
2020-10-07,2204.8832851139186,6666.25,332.0,1075.4008920859214,13.43785155086169,-1.0,-1.0,13.43785155086169,0.4231921805172078,1.5491409909060547
2020-10-08,2062.221749062506,6678.25,342.5,1071.1106525860496,13.477454747262756,-1.0,-1.0,13.477454747262756,-0.1314149780804276,1.417726012825627
2020-10-09,2177.920741550367,6767.5,339.5,1067.0396533926394,13.51864288203132,-1.0,-1.0,13.51864288203132,-0.2928078212243513,1.1249181916012758
2020-10-12,2225.394494561684,6728.0,332.0,1062.4823086546753,13.562064775416616,-1.0,-1.0,13.562064775416616,0.06814864588265651,1.1930668374839324
