Date,Spread,WHEATSF,NAFCNWE,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-10-02,1.2334964770313066,5.98,358.0,1.2603127053551757,0.013258389728962832,-1.0,-1.0,0.013258389728962832,-0.01713547215126166,0.5984644370836526
2020-10-05,0.8835883959948951,6.09,392.0,1.2586463742317895,0.013281662255115064,-1.0,-1.0,0.013281662255115064,-0.014310756400906182,0.5841536806827464
2020-10-06,0.7806746378780529,6.18,405.8,1.257018772763528,0.013305385318191096,-1.0,-1.0,0.013305385318191096,0.0009525258310690243,0.5851062065138154
2020-10-07,1.0307619311057064,6.17,385.5,1.2548408740719903,0.013331356858350955,-1.0,-1.0,0.013331356858350955,0.019742893424076674,0.604849099937892
2020-10-08,0.7871116149054274,6.05,394.0,1.2524560402732297,0.01335758473374257,-1.0,-1.0,0.01335758473374257,0.001822405058604521,0.6066715049964966
2020-10-09,0.6998925343028111,6.04,399.0,1.2501603985047243,0.01338372798420348,-1.0,-1.0,0.01338372798420348,-0.0007211783249633458,0.6059503266715333
2020-10-12,0.9764388436070179,6.04,377.5,1.2471946983306341,0.013413407036802601,-1.0,-1.0,0.013413407036802601,0.0,0.6059503266715333
2020-10-13,0.9647658353293309,6.04,377.5,1.244010440430318,0.013444328913034884,-1.0,-1.0,0.013444328913034884,-0.0045110267282468435,0.6014392999432864
2020-10-14,0.8113726434979034,6.07,390.3,1.2412958187628236,0.01347329581476325,-1.0,-1.0,0.01347329581476325,-0.03466541633424017,0.5667738836090462
2020-10-15,1.035091794667724,6.28,388.3,1.2374630878940376,0.013507360817234809,-1.0,-1.0,0.013507360817234809,-0.011383040862562376,0.5553908427464839
2020-10-16,1.1833555919064995,6.35,381.5,1.2333882454882463,0.013542973546771954,-1.0,-1.0,0.013542973546771954,-0.0032738537629445337,0.5521169889835393
2020-10-19,1.23831754122119,6.37,378.0,1.2300266554699868,0.013575879520578864,-1.0,-1.0,0.013575879520578864,-0.00793908112654601,0.5441779078569933
2020-10-20,1.3078835546351089,6.42,375.5,1.225761846184206,0.013614158309893185,-1.0,-1.0,0.013614158309893185,0.002988368514992029,0.5471662763719853
2020-10-21,1.3197509413306472,6.4,372.0,1.2203764166950937,0.013656583491046648,-1.0,-1.0,0.013656583491046648,0.0002386230986338809,0.5474048994706192
2020-10-22,1.2172331721549847,6.4,378.5,1.2171318135324674,0.013692911037899646,-1.0,-1.0,0.013692911037899646,-0.004814118728223598,0.5425907807423956
2020-10-23,1.2822756105371802,6.43,375.0,1.2144048969791577,0.013727265038567518,-1.0,-1.0,0.013727265038567518,0.020345850533828074,0.5629366312762237
2020-10-26,1.091301016477944,6.3,378.5,1.211614269645127,0.013761423998737268,-1.0,-1.0,0.013761423998737268,0.006621889783791609,0.5695585210600154
2020-10-27,0.9357777170922983,6.26,386.0,1.2092520996233265,0.013793321976444823,-1.0,-1.0,0.013793321976444823,0.009788482830650416,0.5793470038906657
2020-10-28,1.3915028494279493,6.19,347.0,1.2064681152597565,0.013828522047758073,-1.0,-1.0,0.013828522047758073,0.007280511455442104,0.5866275153461078
2020-10-29,1.6067781434225923,6.14,327.0,1.204331740742268,0.013863063781582287,-1.0,-1.0,0.013863063781582287,0.009602408208829715,0.5962299235549375
2020-10-30,1.5910685998670049,6.08,323.0,1.2020563430298299,0.013897620433848283,-1.0,-1.0,0.013897620433848283,-0.022884327716929713,0.5733455958380078
2020-11-02,1.6720729597398485,6.22,326.3,1.1989378712393324,0.013937870181612477,-1.0,-1.0,0.013937870181612477,0.00046986384308224865,0.57381545968109
2020-11-03,1.5051047750232387,6.22,337.3,1.195591414733912,0.013978343388605874,-1.0,-1.0,0.013978343388605874,-0.005655905162853474,0.5681595545182365
2020-11-04,1.2713889421496223,6.26,356.0,1.1932911195392224,0.014012952409692072,-1.0,-1.0,0.014012952409692072,-0.004792332268370725,0.5633672222498658
2020-11-05,1.289177286010374,6.29,356.0,1.1911882485777243,0.0140472548145776,-1.0,-1.0,0.0140472548145776,0.010457979958681191,0.5738252022085469
2020-11-06,1.44456413308278,6.22,339.0,1.188371491503417,0.014086831465832507,-1.0,-1.0,0.014086831465832507,0.008246355584605385,0.5820715577931523
2020-11-09,1.311304413035872,6.17,344.0,1.1857691499652154,0.014124115078384092,-1.0,-1.0,0.014124115078384092,-0.017335499283666463,0.5647360585094858
2020-11-10,1.2377831784741495,6.28,356.0,1.1829731536527868,0.014163530397544526,-1.0,-1.0,0.014163530397544526,0.016739163432772187,0.581475221942258
2020-11-11,0.8352012711082777,6.18,376.5,1.1817444827118844,0.014196012560137377,-1.0,-1.0,0.014196012560137377,0.016030408922890194,0.5975056308651482
2020-11-12,0.779395921948689,6.08,372.5,1.1802993873418497,0.014229809605506875,-1.0,-1.0,0.014229809605506875,-0.008701194599972865,0.5888044362651753
2020-11-13,0.9935586717624396,6.13,360.0,1.1780248594986493,0.014267892578437667,-1.0,-1.0,0.014267892578437667,-0.008275505956370045,0.5805289303088053
2020-11-16,1.072359143760118,6.18,357.0,1.175615831086544,0.014307117244369416,-1.0,-1.0,0.014307117244369416,0.004854368932038722,0.585383299240844
2020-11-17,1.0291086282672488,6.15,357.0,1.1736201076761634,0.014344233534265411,-1.0,-1.0,0.014344233534265411,0.005159308261551836,0.5905426075023958
2020-11-18,0.8863666205686442,6.12,364.0,1.1725345130145424,0.014378113679756473,-1.0,-1.0,0.014378113679756473,0.00015800124922809254,0.5907006087516239
2020-11-19,0.816311928091233,6.12,368.0,1.1713965791459744,0.014412195847578172,-1.0,-1.0,0.014412195847578172,-0.0015164962010862694,0.5891841125505376
