Date,Spread,CRUDOIL,OILWTIN,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-10-26,0.02133092625167876,67.59,67.58,0.4824000094398247,0.9998323331421771,-1.0,-1.0,0.9998323331421771,-0.000443683430106985,-0.2472220993750309
2018-10-29,0.05109300092790647,67.04,67.0,0.482416531599458,0.9998344328219716,-1.0,-1.0,0.9998344328219716,0.0005913826655872222,-0.24663071670944367
2018-10-30,0.010911664734535975,66.18,66.18,0.48242021147831826,0.9998351214153137,-1.0,-1.0,0.9998351214153137,2.1674881939721946e-06,-0.2466285492212497
2018-10-31,0.010724464234613151,65.31,65.31,0.4824235941447035,0.9998357913912935,-1.0,-1.0,0.9998357913912935,-0.00030210837362912996,-0.2469306575948788
2018-11-01,0.0304689883080016,63.69,63.67,0.482431217931006,0.9998355742373487,-1.0,-1.0,0.9998355742373487,-1.2922475612891365e-06,-0.2469319498424401
2018-11-02,0.030455554694178488,63.14,63.12,0.48243105495938265,0.9998343543299402,-1.0,-1.0,0.9998343543299402,0.0006335128286347746,-0.24629843701380533
2018-11-05,-0.009481363156957912,63.1,63.12,0.48243140086116665,0.9998333549296097,-1.0,-1.0,0.9998333549296097,-0.0011019950699435264,-0.24740043208374884
2018-11-06,0.06011448663029739,62.21,62.16,0.4824550406018427,0.9998372830336182,1.0,1.0,-0.9998372830336182,-0.0011203742463007033,-0.24852080633004955
2018-11-07,-0.009241967142706642,61.67,61.69,0.4822765708987259,0.9998256113980015,-1.0,-1.0,0.9998256113980015,0.0003322290099559942,-0.24818857732009356
2018-11-08,-0.02931534544590164,60.67,60.71,0.4822764363118882,0.9998240050312288,1.0,1.0,-0.9998240050312288,0.0006521498350849329,-0.24753642748500862
2018-11-09,0.010998993072952601,60.19,60.19,0.48221283364323714,0.9998172621187414,1.0,1.0,-0.9998172621187414,0.0013280921933938473,-0.24620833529161476
2018-11-12,0.09108225029577,59.93,59.85,0.48219647093274304,0.9998148329106805,-1.0,-1.0,0.9998148329106805,0.00025265611569318114,-0.2459556791759216
2018-11-13,0.0701368813656984,55.69,55.63,0.48222945268177314,0.9998177803098022,-1.0,-1.0,0.9998177803098022,-0.0005301678324360713,-0.24648584700835766
2018-11-14,0.1000088497833147,56.25,56.16,0.4822876831374921,0.9998217797403257,-1.0,-1.0,0.9998217797403257,0.0014295640335594707,-0.24505628297479817
