Date,Spread,CRUDOIL,EIANYGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-12-16,1.6105926411426736,47.82,1.385,4.44235526670996,33.36419303888616,-1.0,-1.0,33.36419303888616,0.855935776011776,23.721828202030647
2020-12-17,0.9648742406882747,48.36,1.421,4.434433714350504,33.35336084399136,-1.0,-1.0,33.35336084399136,0.19594387353089485,23.91777207556154
2020-12-18,1.4178072077836958,49.1,1.43,4.426716217599424,33.34419076378763,-1.0,-1.0,33.34419076378763,-0.9796432278863543,22.938128847675188
2020-12-21,1.7326578219458924,47.97,1.387,4.419486941997894,33.336223632338935,-1.0,-1.0,33.336223632338935,-0.3375905259618275,22.60053832171336
2020-12-22,1.149018479253705,46.87,1.372,4.410633482186674,33.3243305544798,-1.0,-1.0,33.3243305544798,1.0203122003420544,23.620850522055413
2020-12-23,0.86807255874335,48.0,1.415,4.399325169339574,33.30878264399763,-1.0,-1.0,33.30878264399763,-0.047079551440280414,23.573770970615133
2020-12-24,0.9578454899434732,48.0,1.413,4.386836447452059,33.29239526543279,-1.0,-1.0,33.29239526543279,0.0,23.573770970615133
2020-12-25,0.9729746652707405,48.0,1.413,4.379155688411023,33.281688134981785,-1.0,-1.0,33.281688134981785,-0.38979163007409195,23.18397934054104
2020-12-28,1.0436336312984054,47.49,1.396,4.371381535577601,33.271036080731804,-1.0,-1.0,33.271036080731804,0.49228327322345466,23.676262613764493
2020-12-29,0.7477391135100717,47.88,1.417,4.365558818032887,33.26200485990821,-1.0,-1.0,33.26200485990821,0.4845901015556474,24.16085271532014
2020-12-30,0.45759351891621236,48.28,1.438,4.362313375464753,33.256193658611814,-1.0,-1.0,33.256193658611814,0.0,24.16085271532014
2020-12-31,0.4677184807144812,48.28,1.438,4.358350773335941,33.24915265597046,-1.0,-1.0,33.24915265597046,0.0,24.16085271532014
2021-01-01,0.4768068734705082,48.28,1.438,4.354746462815685,33.24283249410952,-1.0,-1.0,33.24283249410952,-0.8158637995640006,23.34498891575614
2021-01-04,0.8913753370545976,47.49,1.402,4.350753404279862,33.23725011622354,-1.0,-1.0,33.23725011622354,1.918830748144818,25.263819663900957
2021-01-05,0.46733726296842804,49.81,1.485,4.344875708235707,33.22738231449937,-1.0,-1.0,33.22738231449937,0.38870274633551594,25.65252241023647
