Date,Spread,EIAEBRT,OILBREN,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-08-31,-0.2762101577267373,76.94,77.66,1.0113132201569717,0.994285477179072,1.0,1.0,-0.994285477179072,0.0023453718112889325,0.14258456408518658
2018-09-03,-0.09740858085713455,77.81,78.36,1.0040506654344101,0.9942242034310508,1.0,1.0,-0.9942242034310508,-0.00448994078904265,0.13809462329614391
2018-09-04,-0.4423076879765375,77.51,78.41,1.0005923729822976,0.9941628323935282,1.0,1.0,-0.9941628323935282,0.0013367838877752069,0.1394314071839191
2018-09-05,-0.32314025714943284,76.68,77.46,0.995843432341987,0.994101991442673,1.0,1.0,-0.994101991442673,-0.0008512258408179645,0.13858018134310116
2018-09-06,-0.3718428450549425,75.67,76.5,0.98658699432917,0.9940110175824175,1.0,1.0,-0.9940110175824175,-0.0015858332232060457,0.1369943481198951
2018-09-07,-0.48505644409280535,75.55,76.5,0.9793102524572708,0.9939223064587294,1.0,1.0,-0.9939223064587294,0.0034156467131410927,0.1404099948330362
2018-09-10,-0.23157329046098596,76.77,77.48,0.9666772597305183,0.9938251586275294,1.0,1.0,-0.9938251586275294,0.002982279163300919,0.14339227399633714
2018-09-11,-0.007585934937623051,78.22,78.72,0.9543109644575141,0.9937447400271547,1.0,1.0,-0.9937447400271547,0.007863469520589816,0.15125574351692694
2018-09-12,0.6016730529372865,80.02,79.92,0.9461251186585444,0.9937228096479318,1.0,1.0,-0.9937228096479318,-0.008852238154405709,0.14240350536252122
2018-09-13,-0.10209776332028753,77.66,78.26,0.9342526188706829,0.9936378451740389,-1.0,-1.0,0.9936378451740389,-0.0034658922511334226,0.1389376131113878
2018-09-14,0.1706497092496022,77.87,78.2,0.9273076049733295,0.9935978298049923,1.0,1.0,-0.9935978298049923,0.001826441138625897,0.1407640542500137
2018-09-17,0.31527794890497773,78.22,78.41,0.9185068652283623,0.9935559501478769,-1.0,-1.0,0.9935559501478769,-0.0056919258650793185,0.13507212838493438
2018-09-18,0.7545636974879244,79.25,79.0,0.9188521887058341,0.9936131177533174,-1.0,-1.0,0.9936131177533174,0.0018792424329422417,0.13695137081787662
2018-09-19,0.6045641748111308,79.43,79.33,0.9174552544918713,0.9936396801359999,-1.0,-1.0,0.9936396801359999,-0.0024793570672702716,0.13447201375060636
2018-09-20,0.7977242436121799,79.03,78.73,0.9165800235896648,0.993678086579294,-1.0,-1.0,0.993678086579294,0.0031595057398985703,0.13763151949050492
2018-09-21,0.5467450159674456,78.9,78.85,0.9150705096799545,0.9937001266205779,-1.0,-1.0,0.9937001266205779,-1.6977257723736067e-05,0.1376145422327812
2018-09-24,0.5476062643120656,80.89,80.85,0.9134155652435891,0.9937216293838954,-1.0,-1.0,0.9937216293838954,0.0015033902398666893,0.13911793247264786
2018-09-25,0.42610086090346044,82.21,82.3,0.9109403958473259,0.993729029636653,-1.0,-1.0,0.993729029636653,-0.004316380355454173,0.1348015521171937
2018-09-26,0.7776845464061779,81.87,81.6,0.910957968184727,0.9937783756567872,-1.0,-1.0,0.9937783756567872,0.003908993940035629,0.13871054605722932
2018-09-27,0.45575834501347856,81.54,81.59,0.9097969877103798,0.9938012214117726,-1.0,-1.0,0.9938012214117726,0.00014509001643299435,0.1388556360736623
2018-09-28,0.4412220350391891,82.72,82.79,0.9087639085067726,0.9938250750689793,-1.0,-1.0,0.9938250750689793,-0.00967156382828625,0.12918407224537606
2018-10-01,1.2337033105449393,84.94,84.22,0.9102193552834826,0.9939004593855979,-1.0,-1.0,0.9939004593855979,0.005802082362222842,0.1349861546075989
2018-10-02,0.7467565088349772,85.63,85.4,0.910096751770552,0.9939489870159838,-1.0,-1.0,0.9939489870159838,-0.000807619697558438,0.13417853491004048
2018-10-03,0.8106208891297229,85.45,85.15,0.9102703699518903,0.9940032778728158,-1.0,-1.0,0.9940032778728158,0.0005655773071285355,0.134744112217169
2018-10-04,0.7615552886673669,86.07,85.82,0.9091001811364816,0.9940392066107274,-1.0,-1.0,0.9940392066107274,0.0010762864182743952,0.1358203986354434
2018-10-05,0.6646817627076302,85.12,84.96,0.9068114443921503,0.9940597720961909,-1.0,-1.0,0.9940597720961909,-0.0037010905282563664,0.13211930810718703
2018-10-08,0.9740488800441653,84.22,83.74,0.905611437767652,0.994100204441794,-1.0,-1.0,0.994100204441794,0.0015410152381840868,0.13366032334537112
2018-10-09,0.8475434445510075,85.16,84.81,0.9040452919943325,0.994133434211166,-1.0,-1.0,0.994133434211166,0.0017860385906777031,0.1354463619360488
2018-10-10,0.6881533715544634,83.82,83.62,0.9027487140930992,0.9941622414308243,-1.0,-1.0,0.9941622414308243,-0.0016813998329694088,0.1337649621030794
2018-10-11,0.8202587985880143,81.35,81.0,0.901534208266473,0.9941943358199009,-1.0,-1.0,0.9941943358199009,0.004675999241666149,0.13844096134474554
2018-10-12,0.43799234658332864,80.71,80.74,0.8995582386890333,0.9942037113378334,-1.0,-1.0,0.9942037113378334,-0.002231734778346356,0.1362092265663992
2018-10-15,0.6164619524467838,80.91,80.76,0.8979677331412961,0.9942240966759931,-1.0,-1.0,0.9942240966759931,0.003465491627859654,0.13967471819425883
2018-10-16,0.3350560810921479,80.53,80.66,0.896528808809683,0.9942343654712107,-1.0,-1.0,0.9942343654712107,-0.000929372509156548,0.13874534568510227
2018-10-17,0.4110747277491811,79.91,79.96,0.8937392250779189,0.9942336827445075,-1.0,-1.0,0.9942336827445075,-0.008486390601844605,0.13025895508325766
2018-10-18,1.0862766850571717,80.3,79.67,0.892919060414566,0.9942729172203192,-1.0,-1.0,0.9942729172203192,0.0038708934861579093,0.13412984856941557
2018-10-19,0.7768436550186664,80.38,80.06,0.8909830571082498,0.9942937340117577,-1.0,-1.0,0.9942937340117577,-0.0034789284018841853,0.13065092016753138
2018-10-22,1.052632547461556,80.45,79.85,0.8901751074717209,0.994331464652955,-1.0,-1.0,0.994331464652955,-0.006888761915228612,0.12376215825230277
2018-10-23,1.5837686713170456,78.67,77.52,0.8929849497063326,0.9944044289045789,-1.0,-1.0,0.9944044289045789,0.008696326015264443,0.1324584842675672
2018-10-24,0.8894170294417165,77.34,76.88,0.8897017057030256,0.9944144507096552,-1.0,-1.0,0.9944144507096552,0.0014226209810708891,0.13388110524863808
2018-10-25,0.7796446972156161,77.3,76.95,0.8859009604941206,0.9944165731355994,-1.0,-1.0,0.9944165731355994,-1.3718169612627566e-06,0.1338797334316768
2018-10-26,0.7789081209369186,77.4,77.05,0.8839810689498426,0.9944333793518895,-1.0,-1.0,0.9944333793518895,0.0012884645404720781,0.13516819797214888
2018-10-29,0.6797830152183479,77.56,77.31,0.8814109034856751,0.9944407836603498,-1.0,-1.0,0.9944407836603498,0.009704075666950251,0.14487227363909913
2018-10-30,-0.07428714036360873,75.68,76.18,0.8788580979235276,0.9944117503329432,-1.0,-1.0,0.9944117503329432,0.004964244686515782,0.14983651832561493
2018-10-31,-0.44579558818278997,74.84,75.71,0.8791576567903713,0.9943969830693805,1.0,1.0,-0.9943969830693805,-0.010404935396731867,0.13943158292888305
2018-11-01,-1.1883834920033252,71.25,72.85,0.8825196862184493,0.9943498077145275,1.0,1.0,-0.9943498077145275,-0.0010094629115869932,0.13842212001729606
2018-11-02,-1.2551795918311655,71.11,72.78,0.8862297094389974,0.9943003516327448,1.0,1.0,-0.9943003516327448,0.012242027915423285,0.15066414793271934
2018-11-05,-0.4005994521225489,72.68,73.5,0.8865613276499692,0.9942938700969055,1.0,1.0,-0.9942938700969055,-0.0035829123197122607,0.1470812356130071
2018-11-06,-0.641157456928056,70.64,71.69,0.8874020691101644,0.9942970770948257,1.0,1.0,-0.9942970770948257,-0.0062574544023861756,0.14082378121062092
2018-11-07,-1.0785161255571438,70.1,71.59,0.889999247095409,0.9942522157502044,1.0,1.0,-0.9942522157502044,-0.009471699968333957,0.13135208124228695
2018-11-08,-1.7320784341654445,69.29,71.44,0.8956831195372321,0.9941500340728646,1.0,1.0,-0.9941500340728646,0.015162918877888669,0.14651500012017563
2018-11-09,-0.6370015426486191,69.01,70.06,0.895319803934264,0.9941050748308395,1.0,1.0,-0.9941050748308395,-0.0006103085268426116,0.14590469159333302
2018-11-12,-0.6885002697875819,69.81,70.92,0.8950862952135584,0.9940566873912519,1.0,1.0,-0.9940566873912519,-0.005828204942178339,0.14007648665115469
2018-11-13,-1.0277500404049675,65.45,66.88,0.8955254706862655,0.9939854970156246,1.0,1.0,-0.9939854970156246,-0.003507159951512401,0.13656932669964228
2018-11-14,-1.2447590531671437,64.88,66.53,0.8974558415092084,0.9939088990405403,1.0,1.0,-0.9939088990405403,0.0018398081581402406,0.13840913485778253
2018-11-15,-1.136018010055679,65.61,67.16,0.8986963232396077,0.99383588460476,1.0,1.0,-0.99383588460476,-0.005321246273612506,0.13308788858417003
2018-11-16,-1.47832179352541,65.29,67.19,0.8997671280393661,0.9937240927746007,1.0,1.0,-0.9937240927746007,-0.002823961626172513,0.13026392695799752
2018-11-19,-1.6288236062809176,64.14,66.19,0.9045111511972328,0.9936368576262414,1.0,1.0,-0.9936368576262414,-0.0021290541390629053,0.1281348728189346
2018-11-20,-1.6774064848332984,61.5,63.59,0.9059281631532415,0.9935116603999574,1.0,1.0,-0.9935116603999574,0.006032477478653974,0.13416735029758858
2018-11-21,-1.2921942039496486,61.65,63.36,0.9049452792671924,0.9934058428653669,1.0,1.0,-0.9934058428653669,-0.0009197471710400817,0.13324760312654851
2018-11-22,-1.3283375368983315,61.11,62.86,0.9031953199996999,0.9932920384489076,1.0,1.0,-0.9932920384489076,0.00629386711992988,0.1395414702464784
2018-11-23,-0.8298395219187782,57.69,58.92,0.8997493453442059,0.9932084100800879,1.0,1.0,-0.9932084100800879,0.0023075811734895313,0.14184905141996793
2018-11-26,-0.732508740633449,59.7,60.85,0.8974214471329001,0.9931390097063837,1.0,1.0,-0.9931390097063837,0.0007645369574550494,0.14261358837742297
2018-11-27,-0.6790125081143259,59.58,60.68,0.8938156202218113,0.9930621705358327,1.0,1.0,-0.9930621705358327,-0.009511341749707407,0.13310224662771555
2018-11-28,-1.218652671773377,57.97,59.61,0.8876189033355937,0.9929315999290954,1.0,1.0,-0.9929315999290954,0.0050203826611122555,0.13812262928882782
2018-11-29,-0.9219778946505812,58.29,59.64,0.8816367348847525,0.9928232376701975,1.0,1.0,-0.9928232376701975,0.00503199326093697,0.1431546225497648
2018-11-30,-0.6030744974490716,57.71,58.74,0.8749434297430634,0.9927319458196981,1.0,1.0,-0.9927319458196981,0.0015588543961961021,0.1447134769459609
2018-12-03,-0.5510703207571694,60.17,61.17,0.8710993456559261,0.9926609501513352,1.0,1.0,-0.9926609501513352,0.00284544223671168,0.14755891918267258
2018-12-04,-0.3909140001998921,61.22,62.07,0.8678743339569168,0.9926037377187029,1.0,1.0,-0.9926037377187029,-0.0031366237644540928,0.1444222954182185
2018-12-05,-0.5825338375159035,61.4,62.45,0.861801197487449,0.9925145530426885,1.0,1.0,-0.9925145530426885,-0.0014055009485501174,0.14301679446966836
2018-12-06,-0.6058588827152391,57.83,58.88,0.8598306789100897,0.992456842437419,1.0,1.0,-0.992456842437419,-0.0016775824170252585,0.1413392120526431
2018-12-07,-0.7714458089057104,61.71,62.96,0.859156772838826,0.9923990757450081,1.0,1.0,-0.9923990757450081,0.008829138523834164,0.15016835057647726
2018-12-10,-0.18482496754911892,60.29,60.94,0.8574287874346308,0.9923666716040224,1.0,1.0,-0.9923666716040224,-0.008962752741298617,0.14120559783517864
2018-12-11,-0.7223458157356362,59.73,60.92,0.8573712251651886,0.9923234703830537,1.0,1.0,-0.9923234703830537,-0.0016966461474077514,0.1395089516877709
2018-12-12,-0.8269279770456848,59.94,61.24,0.8575939709060514,0.9922751139295506,1.0,1.0,-0.9922751139295506,-0.004973923600491691,0.13453502808727918
2018-12-13,-1.1080984216021434,59.03,60.61,0.858825538323833,0.992214130037983,1.0,1.0,-0.992214130037983,-0.0023960937111449096,0.13213893437613428
2018-12-14,-1.2369419194856022,58.56,60.27,0.8607988069972533,0.9921510190722681,1.0,1.0,-0.9921510190722681,-0.0068517619682980785,0.1252871724078362
2018-12-17,-1.6152969397343782,57.59,59.68,0.8631338776348849,0.992045860250241,1.0,1.0,-0.992045860250241,0.0012646954796845938,0.12655186788752082
2018-12-18,-1.4498129710254162,55.26,57.17,0.8643922986248294,0.9919505504814661,1.0,1.0,-0.9919505504814661,-0.001308151435388801,0.12524371645213203
2018-12-19,-1.530608775845451,55.6,57.6,0.8660710452103257,0.9918508468028724,1.0,1.0,-0.9918508468028724,-0.003491671981039425,0.12175204447109261
2018-12-20,-1.6264183856357661,52.84,54.92,0.8673822717279249,0.9917410485367038,1.0,1.0,-0.9917410485367038,-0.0034977813287717825,0.11825426314232083
2018-12-21,-1.77623474583298,51.93,54.16,0.8692818116384626,0.9916217641401954,1.0,1.0,-0.9916217641401954,0.0,0.11825426314232083
2018-12-24,-1.768804038488284,51.93,54.16,0.8688728286782962,0.9914845649647025,1.0,1.0,-0.9914845649647025,0.0,0.11825426314232083
2018-12-25,-1.7620833836585064,51.93,54.16,0.8700269645340855,0.9913604760645958,1.0,1.0,-0.9913604760645958,0.0,0.11825426314232083
2018-12-26,-1.7542833809768723,51.93,54.16,0.8683931632748559,0.9912164582898242,1.0,1.0,-0.9912164582898242,0.010377737927291648,0.12863200106961248
2018-12-27,-1.1670895281490203,51.49,53.13,0.8638862058361827,0.9910989935657636,1.0,1.0,-0.9910989935657636,-0.017867547096523606,0.11076445397308887
2018-12-28,-2.0793415456015296,50.57,53.13,0.8662762951699688,0.9909531629136369,1.0,1.0,-0.9909531629136369,0.0,0.11076445397308887
2018-12-31,-2.071941874026699,50.57,53.13,0.869396910702751,0.9908138880863296,1.0,1.0,-0.9908138880863296,0.0,0.11076445397308887
2019-01-01,-2.0645683835521424,50.57,53.13,0.8723727371594293,0.9906751060333548,1.0,1.0,-0.9906751060333548,0.02127885650097716,0.13204331047406603
2019-01-02,-1.105369821998302,54.06,55.69,0.870544944889605,0.9905794545160407,1.0,1.0,-0.9905794545160407,-0.0009455295204405124,0.1310977809536255
2019-01-03,-1.1286257603156642,53.23,54.88,0.8702045968266813,0.9904997405305331,1.0,1.0,-0.9904997405305331,0.008636837480764048,0.13973461843438956
2019-01-04,-0.725753998939183,55.64,56.91,0.8688372574971631,0.9904367246343206,1.0,1.0,-0.9904367246343206,-0.001257513246183041,0.13847710518820652
2019-01-07,-0.8260566736718289,57.1,58.49,0.866867645071825,0.990358294984986,1.0,1.0,-0.990358294984986,-0.0002797183418856942,0.13819738684632082
2019-01-08,-0.8336657749861232,56.91,58.31,0.8655499589593664,0.990287528296795,1.0,1.0,-0.990287528296795,0.004897186345546423,0.14309457319186725
2019-01-09,-0.6074143942337571,59.46,60.66,0.8642794239109512,0.9902310318864781,1.0,1.0,-0.9902310318864781,0.003763539651030023,0.14685811284289726
2019-01-10,-0.3967382676597708,60.47,61.47,0.8630308857174785,0.9901860788622054,1.0,1.0,-0.9901860788622054,-0.008420415917267306,0.13843769692562996
2019-01-11,-0.8894756538898392,59.24,60.73,0.861985287496862,0.9901115701282701,1.0,1.0,-0.9901115701282701,-0.00025387379991372635,0.13818382312571623
2019-01-14,-0.8880013198559311,58.8,60.29,0.859006112467123,0.9900149497405196,1.0,1.0,-0.9900149497405196,0.0018826176152226398,0.14006644074093888
2019-01-15,-0.7674028689755374,58.65,60.02,0.8585674634043222,0.9899600611292159,1.0,1.0,-0.9899600611292159,0.0032845097143724446,0.14335095045531132
2019-01-16,-0.5961499600807656,59.81,61.02,0.8586650534049095,0.989940182892179,1.0,1.0,-0.989940182892179,0.0022911053345640426,0.14564205578987535
2019-01-17,-0.45636041765719426,59.85,60.92,0.8586687416574897,0.9899271243870189,1.0,1.0,-0.9899271243870189,0.007992139581161458,0.1536341953710368
2019-01-18,-0.009133845215423264,62.04,62.68,0.8589755409581425,0.9899351283537878,1.0,1.0,-0.9899351283537878,-0.001533825802098983,0.15210036956893783
2019-01-21,-0.10573370642592295,62.18,62.92,0.8587537508751664,0.9899194803945632,1.0,1.0,-0.9899194803945632,0.007104658161814936,0.15920502773075276
2019-01-22,0.3551619496866181,60.9,61.16,0.8599674891433248,0.9899417601424687,1.0,1.0,-0.9899417601424687,0.0029486371303620263,0.1621536648611148
2019-01-23,0.5331116433316438,61.05,61.13,0.8618221554396962,0.9899703640874914,-1.0,-1.0,0.9899703640874914,-0.0021127065077752006,0.1600409583533396
2019-01-24,0.661540403685315,61.09,61.04,0.8634557289763817,0.9899813171086941,-1.0,-1.0,0.9899813171086941,0.0005884529055047508,0.16062941125884433
2019-01-25,0.6254072075517527,61.49,61.48,0.8648635373794812,0.989990123494604,-1.0,-1.0,0.989990123494604,0.0018953662095830548,0.1625247774684274
2019-01-28,0.5081279855950172,59.71,59.8,0.8660044304223699,0.9899978597726586,-1.0,-1.0,0.9899978597726586,0.005053216468553008,0.1675779939369804
2019-01-29,0.20420315054248306,60.98,61.39,0.8662690902291976,0.9899950618904954,-1.0,-1.0,0.9899950618904954,0.00023581949343246325,0.16781381343041285
2019-01-30,0.18192966036492209,61.89,62.33,0.8668994928739613,0.9900219852339978,-1.0,-1.0,0.9900219852339978,-0.010004066263547605,0.15780974716686524
2019-01-31,0.7999836312020818,62.46,62.28,0.8693782944515017,0.9900452210789646,-1.0,-1.0,0.9900452210789646,0.007698546352637766,0.165508293519503
2019-02-01,0.3170064898213525,61.86,62.16,0.8704174878431358,0.9900738981688972,-1.0,-1.0,0.9900738981688972,-0.0021656999952364723,0.16334259352426653
2019-02-04,0.44750008901467453,62.26,62.43,0.8718855460226361,0.9901089205668,-1.0,-1.0,0.9901089205668,0.00535291793752343,0.16869551146178996
2019-02-05,0.11471480298136782,61.67,62.17,0.8722738130373784,0.9901123563940587,-1.0,-1.0,0.9901123563940587,-0.0003184581947535993,0.16837705326703636
2019-02-06,0.1293354767254229,62.22,62.71,0.8727935523707878,0.990123816349459,-1.0,-1.0,0.990123816349459,-0.00155215412884906,0.1668248991381873
2019-02-07,0.2362621524006272,61.01,61.38,0.8731898317539154,0.9901228062495824,-1.0,-1.0,0.9901228062495824,0.002003534154684343,0.16882843329287164
2019-02-08,0.11122710062699781,61.37,61.87,0.8734554872081634,0.9901207838915953,-1.0,-1.0,0.9901207838915953,-0.006380902815614391,0.16244753047725724
2019-02-11,0.5063842821942686,61.3,61.4,0.8744069628914817,0.99012403449195,-1.0,-1.0,0.99012403449195,-0.0005624072946929515,0.1618851231825643
