Date,Spread,EIAEBRT,FUELOIL,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2021-03-15,3.957158772935955,68.78,1.7878,4.691570910700905,36.25844122780179,-1.0,-1.0,36.25844122780179,-0.5395767948191751,8.345786300317302
2021-03-16,4.007617784391229,67.95,1.7606,4.601692724527451,36.31851767329818,-1.0,-1.0,36.31851767329818,-0.6032399008355119,7.74254639948179
2021-03-17,4.741217181790667,67.73,1.7312,4.484315359696802,36.38446327299523,-1.0,-1.0,36.38446327299523,-2.758508823594412,4.984037575887378
2021-03-18,3.9315114341032924,62.11,1.5959999999999999,4.303202369588557,36.452687071363854,-1.0,-1.0,36.452687071363854,1.6460282823442522,6.63006585823163
2021-03-19,3.050173754107128,64.0,1.6694,4.146931235260909,36.51001931585772,-1.0,-1.0,36.51001931585772,0.2401033256216907,6.870169183853321
2021-03-22,2.458950745616221,63.89,1.6803,4.038093413569309,36.55957225161208,-1.0,-1.0,36.55957225161208,-1.9619601559148587,4.908209027938462
2021-03-23,1.8502697652776519,59.96,1.5873,3.935170944289402,36.60916665704174,-1.0,-1.0,36.60916665704174,1.7319885722806556,6.640197600219118
2021-03-24,2.6564641796736552,63.7,1.6650999999999998,3.8269559062847036,36.66058243968912,-1.0,-1.0,36.66058243968912,-1.5395326794405046,5.1006649207786126
2021-03-25,2.719153879396295,61.21,1.5934,3.7258701447774096,36.70820015100019,-1.0,-1.0,36.70820015100019,1.1446160227861217,6.245280943564734
2021-03-26,3.318253017204441,63.77,1.6449,3.6627798927017765,36.7510164647064,-1.0,-1.0,36.7510164647064,0.10939865547389482,6.354679599038629
2021-03-29,3.336107571977159,64.06,1.65,3.5416145045096634,36.80235904728657,-1.0,-1.0,36.80235904728657,-0.27778189545217563,6.076897703586454
2021-03-30,2.9534239753314466,63.28,1.6369999999999998,3.4152516011596776,36.851909605784094,-1.0,-1.0,36.851909605784094,-0.37523830495323746,5.7016593986332165
2021-03-31,3.713068201943237,63.52,1.6205,3.273711064489603,36.9064682493408,-1.0,-1.0,36.9064682493408,1.2086984962859746,6.910357894919191
2021-04-01,2.0113322181870927,63.85,1.6738,3.178191059171915,36.945075744899576,-1.0,-1.0,36.945075744899576,0.0,6.910357894919191
2021-04-02,1.947061766317539,63.85,1.6738,3.0673143754182304,36.98347367288951,-1.0,-1.0,36.98347367288951,-1.1003566668119782,5.810001228107213
2021-04-05,3.7061578469246896,63.85,1.624,2.912190064413886,37.03438556223849,-1.0,-1.0,37.03438556223849,0.595983265838656,6.405984493945869
2021-04-06,0.3582392821545781,61.47,1.6484999999999999,2.7647985916076676,37.0711317669672,-1.0,-1.0,37.0711317669672,0.18030414878583603,6.586288642731705
2021-04-07,0.38407281796847315,61.86,1.6568,2.6048631458348948,37.105219206923906,-1.0,-1.0,37.105219206923906,0.06122949797238343,6.647518140704088
2021-04-08,0.4504832516050641,62.09,1.6597,2.341186563355306,37.13895086364701,-1.0,-1.0,37.13895086364701,-0.10642570871066548,6.541092431993423
2021-04-09,0.3903621457352173,61.89,1.6547999999999998,2.1805713116568826,37.16439319208653,-1.0,-1.0,37.16439319208653,0.07517932810291418,6.616271760096337
2021-04-12,0.7058099917240099,62.38,1.6584999999999999,2.055287821914812,37.186728976952665,-1.0,-1.0,37.186728976952665,0.13628633961035863,6.752558099706696
2021-04-13,0.8898480260838184,62.83,1.6649,1.9787691743749596,37.20352692288797,-1.0,-1.0,37.20352692288797,1.3600503699566358,8.112608469663332
