Date,Spread,LCPCASH,LTICASH,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-05-09,-55.43439105215657,6774.25,21200.0,378.2259592600544,0.3221549241062338,1.0,1.0,-0.3221549241062338,0.021291711107752763,0.12343038207241497
2018-05-10,157.6438257843074,6884.0,20865.0,378.06523369628025,0.3223750862312817,1.0,1.0,-0.3223750862312817,0.000893762750935008,0.12432414482334997
2018-05-11,122.12437593808318,6908.5,21037.5,378.0877980975043,0.3225846998959913,-1.0,-1.0,0.3225846998959913,0.007264137857094726,0.1315882826804447
2018-05-14,72.12325096938366,6856.25,21018.0,378.5088616788448,0.32277698872540755,-1.0,-1.0,0.32277698872540755,0.011608401625669108,0.14319668430611382
2018-05-15,3.2462946236528296,6769.5,20950.0,378.9659917757452,0.32297153724946764,-1.0,-1.0,0.32297153724946764,-0.006079341008933891,0.13711734329717992
2018-05-16,72.84532843396482,6795.0,20800.0,379.0573516141169,0.3231805130560594,-1.0,-1.0,0.3231805130560594,-0.010445045740847132,0.1266722975563328
2018-05-17,157.62010522187484,6857.0,20715.0,378.76088517426854,0.3234071877759172,-1.0,-1.0,0.3234071877759172,0.006503771490418728,0.13317606904675153
2018-05-18,82.89416120277656,6825.25,20835.0,379.0276531183573,0.32360719168693175,-1.0,-1.0,0.32360719168693175,-0.0038710139993027685,0.12930505504744877
2018-05-21,120.12503169431238,6844.25,20765.0,379.06451069876965,0.3238201285001535,-1.0,-1.0,0.3238201285001535,-0.018372438464972392,0.11093261658247638
2018-05-22,281.0459006328838,6950.25,20580.0,378.53780557796455,0.32406239549888805,-1.0,-1.0,0.32406239549888805,0.016827904581906285,0.12776052116438266
2018-05-23,143.60846673472406,6841.5,20655.0,378.49203706533024,0.3242745840360821,-1.0,-1.0,0.3242745840360821,-0.005672119465870339,0.12208840169851232
2018-05-24,223.91136729552,6857.75,20445.0,378.5601223734917,0.32447242028390705,-1.0,-1.0,0.32447242028390705,-0.005219983773795992,0.11686841792471632
2018-05-25,311.9593431757876,6865.25,20185.0,378.63925654082897,0.32466141475472937,-1.0,-1.0,0.32466141475472937,0.0,0.11686841792471632
2018-05-28,308.7195734205634,6865.25,20185.0,378.8943319389013,0.32482191858208753,-1.0,-1.0,0.32482191858208753,0.007784941126966492,0.12465335905168282
2018-05-29,187.80361569263368,6845.5,20490.0,379.4228273651153,0.32492417688176506,-1.0,-1.0,0.32492417688176506,0.003935566993815889,0.1285889260454987
2018-05-30,134.70119646447256,6830.5,20600.0,380.236100920557,0.3250387768706567,-1.0,-1.0,0.3250387768706567,-0.0016128734341723985,0.1269760526113263
2018-05-31,136.15187334259554,6844.75,20630.0,380.9626000091957,0.3251865306183909,-1.0,-1.0,0.3251865306183909,-0.0029508384751769866,0.12402521413614931
2018-06-01,117.65617376820137,6882.75,20795.0,381.79335795664514,0.32532309815974025,-1.0,-1.0,0.32532309815974025,-0.015870921257211186,0.10815429287893813
2018-06-04,260.8696356151959,6973.25,20621.0,381.954774352386,0.32551187451553293,-1.0,-1.0,0.32551187451553293,-0.016169450712317384,0.09198484216662074
2018-06-05,351.00651698806996,7095.25,20705.0,381.8072899776389,0.3257301851249423,-1.0,-1.0,0.3257301851249423,-0.010764120857712493,0.08122072130890826
2018-06-06,347.17101286742036,7211.25,21060.0,381.8612360480122,0.3259296765020218,-1.0,-1.0,0.3259296765020218,-0.010918785276039109,0.07030193603286915
2018-06-07,343.597587054669,7330.5,21423.0,381.81218463993565,0.3261402424004729,-1.0,-1.0,0.3261402424004729,-0.0009097064413731012,0.06939222959149605
2018-06-08,371.3146323627416,7324.0,21305.0,381.8605167619572,0.32634054764784126,-1.0,-1.0,0.32634054764784126,0.008663522614621428,0.07805575220611748
2018-06-11,313.90451277360444,7255.5,21260.0,382.0870195207059,0.32650966543868276,-1.0,-1.0,0.32650966543868276,0.005648910911574592,0.08370466311769206
2018-06-12,279.42871308415033,7209.5,21215.0,382.39657710183,0.3266590283721824,-1.0,-1.0,0.3266590283721824,-0.009759656841816445,0.07394500627587562
2018-06-13,402.10129223042986,7251.0,20955.0,382.4741253801229,0.32683840170697065,-1.0,-1.0,0.32683840170697065,0.010788331258411098,0.08473333753428672
2018-06-14,320.22789623182143,7173.0,20957.0,382.6725640567868,0.3269920362536708,-1.0,-1.0,0.3269920362536708,0.020283571261654244,0.10501690879594096
2018-06-15,188.25788973322688,7019.0,20881.0,383.24709994852697,0.32712715436362116,-1.0,-1.0,0.32712715436362116,0.002326698399897296,0.10734360719583826
2018-06-18,230.78400136362688,6971.0,20593.0,383.63467990937573,0.32730617193397626,-1.0,-1.0,0.32730617193397626,0.01774637149258846,0.12508997868842672
2018-06-19,133.73793043456135,6832.0,20455.0,384.37098886988326,0.3274633131051302,-1.0,-1.0,0.3274633131051302,0.014632353013075316,0.13972233170150203
