Date,Spread,CRUDOIL,ETHANYH,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-05-28,-4.079368819198727,59.14,1.48,9.461408609483543,42.715789742701844,1.0,1.0,-42.715789742701844,-0.005579979709164684,6.378431901547421
2019-05-29,-4.389664256133386,58.81,1.48,9.453849890244351,42.70247584873878,1.0,1.0,-42.70247584873878,-0.0377486821969053,6.340683219350515
2019-05-30,-6.579611770641442,56.59,1.48,9.451070659787293,42.68217011529828,1.0,1.0,-42.68217011529828,-4.9572849892327,1.3833982301178152
2019-05-31,-16.833922679076124,53.5,1.65,9.499883336948633,42.62661980550068,1.0,1.0,-42.62661980550068,-0.004672897196261627,1.3787253329215536
2019-06-03,-16.989896900722357,53.25,1.65,9.547938193912218,42.56963448528628,1.0,1.0,-42.56963448528628,0.004319248826291089,1.3830445817478447
2019-06-04,-16.675971143942867,53.48,1.65,9.598588769738686,42.51877039026841,1.0,1.0,-42.51877039026841,-0.03365744203440535,1.3493871397134394
2019-06-05,-18.379105176337454,51.68,1.65,9.65840441924735,42.46006374323482,1.0,1.0,-42.46006374323482,0.017608359133127083,1.3669954988465665
2019-06-06,-17.38078749792841,52.59,1.65,9.711951455691299,42.40653787753237,1.0,1.0,-42.40653787753237,0.026621030614185193,1.3936165294607517
2019-06-07,-15.896518265260802,53.99,1.65,9.752416642199693,42.35546561530958,1.0,1.0,-42.35546561530958,-0.013521022411557726,1.380095507049194
2019-06-10,-16.53751103270387,53.26,1.65,9.795570625544448,42.301521838002344,1.0,1.0,-42.301521838002344,0.00018775816748028973,1.3802832652166743
2019-06-11,-16.416047532193083,53.27,1.65,9.817759507660629,42.23396820132915,1.0,1.0,-42.23396820132915,-0.039984982166322514,1.3402982830503518
2019-06-12,-18.410753611968033,51.14,1.65,9.837485383963985,42.15197188604124,1.0,1.0,-42.15197188604124,0.02229174814235435,1.3625900311927062
2019-06-13,-17.131043709871918,52.28,1.65,9.83270688458972,42.067299218104196,1.0,1.0,-42.067299218104196,-2.2901805694398965,-0.9275905382471903
2019-06-14,-20.527400131802175,52.51,1.74,9.86846652353843,41.97551731712768,1.0,1.0,-41.97551731712768,-0.011045515139973316,-0.9386360533871636
2019-06-17,-20.941368406079214,51.93,1.74,9.901976227690204,41.880096785103,1.0,1.0,-41.880096785103,0.0379356826497208,-0.9007003707374428
2019-06-18,-18.81700935581575,53.9,1.74,9.918351823192205,41.79138468725043,1.0,1.0,-41.79138468725043,-0.0025974025974025983,-0.9032977733348454
2019-06-19,-18.80327843732936,53.76,1.74,9.934879224629226,41.70303358467204,1.0,1.0,-41.70303358467204,0.061569940476190466,-0.8417278328586549
2019-06-20,-15.357639312029498,57.07,1.74,9.927170848369398,41.62508006438477,1.0,1.0,-41.62508006438477,0.0036796916067987073,-0.8380481412518562
2019-06-21,-15.013504568031735,57.28,1.74,9.916908584402924,41.54799113105272,1.0,1.0,-41.54799113105272,0.007681564245810124,-0.8303665770060461
2019-06-24,-14.448206485327162,57.72,1.74,9.910213505578936,41.47598073869377,1.0,1.0,-41.47598073869377,-0.0020790020790020236,-0.8324455790850481
2019-06-25,-14.441792272991897,57.6,1.74,9.902465780249477,41.40332889252408,1.0,1.0,-41.40332889252408,0.0269097222222221,-0.805535856862826
2019-06-26,-12.774125860755085,59.15,1.74,9.885853456184861,41.33570451767533,1.0,1.0,-41.33570451767533,0.0010143702451395065,-0.8045214866176865
2019-06-27,-12.595722575541295,59.21,1.74,9.866576321017945,41.267656652609936,1.0,1.0,-41.267656652609936,-0.016213477453132952,-0.8207349640708195
2019-06-28,-13.451098551559468,58.25,1.74,9.870110962910028,41.2075279031951,1.0,1.0,-41.2075279031951,0.01064377682403439,-0.8100911872467851
2019-07-01,-12.730430516848038,58.87,1.74,9.870235633448557,41.149672710832206,1.0,1.0,-41.149672710832206,-0.04824188890776282,-0.8583330761545479
2019-07-02,-15.450586303238822,56.03,1.74,9.88026564797555,41.08079672599932,1.0,1.0,-41.08079672599932,0.02230947706585762,-0.8360235990886903
2019-07-03,-14.102927401536078,57.28,1.74,9.894815650039055,41.024670920423034,1.0,1.0,-41.024670920423034,0.0,-0.8360235990886903
2019-07-04,-14.005370759978362,57.28,1.74,9.908433244063543,40.968603885045034,1.0,1.0,-40.968603885045034,0.0,-0.8360235990886903
2019-07-05,-13.904583613350042,57.28,1.74,9.918744306368213,40.9106802375575,1.0,1.0,-40.9106802375575,0.0027932960893854997,-0.8332303029993048
2019-07-08,-13.641369563801177,57.44,1.74,9.924778743555182,40.85136181827654,1.0,1.0,-40.85136181827654,0.0027855153203342198,-0.8304447876789706
2019-07-09,-13.383402390017118,57.6,1.74,9.932405930367212,40.79505884483743,1.0,1.0,-40.79505884483743,0.04531250000000009,-0.7851322876789705
2019-07-10,-10.680806249403041,60.21,1.74,9.921748935437442,40.74184267207072,1.0,1.0,-40.74184267207072,-0.003986048829098143,-0.7891183365080686
2019-07-11,-10.82592640284092,59.97,1.74,9.910380849832563,40.687314024621216,1.0,1.0,-40.687314024621216,0.0003335000833750712,-0.7887848364246935
2019-07-12,-10.706724473422504,59.99,1.74,9.894092557245482,40.630301421507184,1.0,1.0,-40.630301421507184,-0.010668444740790095,-0.7994532811654836
2019-07-15,-11.252604550243753,59.35,1.74,9.887126948328499,40.57620951163434,1.0,1.0,-40.57620951163434,-0.032855939342881224,-0.8323092205083649
2019-07-16,-13.095021678355401,57.4,1.74,9.884350626627784,40.514380274916896,1.0,1.0,-40.514380274916896,-0.014634146341463317,-0.8469433668498282
2019-07-17,-13.815960011235049,56.56,1.74,9.877636023052123,40.44595402944543,1.0,1.0,-40.44595402944543,-0.026166902404526238,-0.8731102692543544
2019-07-18,-15.175683083709899,55.08,1.74,9.883345851807448,40.37682935845397,1.0,1.0,-40.37682935845397,0.005991285403050162,-0.8671189838513043
2019-07-19,-14.738500901616234,55.41,1.74,9.895483938057088,40.31523040322772,1.0,1.0,-40.31523040322772,0.010467424652589985,-0.8566515591987143
2019-07-22,-14.048368022120847,55.99,1.74,9.899235451899255,40.25193564489704,1.0,1.0,-40.25193564489704,0.01178781925343797,-0.8448637399452763
2019-07-23,-13.284442231842895,56.65,1.74,9.901368234226517,40.19220817922005,1.0,1.0,-40.19220817922005,-0.01659311562224175,-0.861456855567518
2019-07-24,-14.113014000577756,55.71,1.74,9.904712308086443,40.128168965849284,1.0,1.0,-40.128168965849284,0.0025130138215760933,-0.858943841745942
