Date,Spread,EIAEBRT,EIALALS,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-07-05,4.651937484316079,77.09,2.221,2.898199257810888,32.615066418587986,-1.0,-1.0,32.615066418587986,-0.2810113819634722,2.3622122204372356
2018-07-06,3.19890829019117,74.98,2.2,2.8910506956423814,32.627768959004015,-1.0,-1.0,32.627768959004015,0.37242424129310225,2.7346364617303376
2018-07-09,4.385423024819602,77.08,2.227,2.890141346943238,32.64237852500243,-1.0,-1.0,32.64237852500243,0.3277828570871502,3.0624193188174877
2018-07-10,4.321648065464501,77.8,2.25,2.8881164723261152,32.657045304238,-1.0,-1.0,32.657045304238,-1.4925044449604115,1.5699148738570763
2018-07-11,5.266738321011559,75.35,2.145,2.8915988038340923,32.672849267593676,-1.0,-1.0,32.672849267593676,0.11915982423324303,1.6890746980903193
2018-07-12,1.8422204268598676,72.11,2.15,2.8817544818201988,32.68268817355355,-1.0,-1.0,32.68268817355355,0.09387459826272555,1.7829492963530449
2018-07-13,3.5516906458271222,74.11,2.158,2.875342851768862,32.696158180803,-1.0,-1.0,32.696158180803,-0.9129619199117506,0.8699873764412943
2018-07-16,2.5086180959837634,71.03,2.095,2.867269612345549,32.70710353413663,-1.0,-1.0,32.70710353413663,0.11153644749391682,0.9815238239352111
2018-07-17,2.100207123793197,70.87,2.102,2.861376327332729,32.71636197726299,-1.0,-1.0,32.71636197726299,0.40961293561686024,1.3911367595520714
2018-07-18,0.8817983445325268,70.52,2.128,2.851304205853713,32.72471882305802,-1.0,-1.0,32.72471882305802,-0.020136131593874174,1.3710006279581972
2018-07-19,2.2766025408359525,71.94,2.128,2.8389746150619377,32.73655895637408,-1.0,-1.0,32.73655895637408,0.2300607960804731,1.6010614240386702
2018-07-20,1.8169208036978404,71.99,2.143,2.8330625068831035,32.74525394134492,-1.0,-1.0,32.74525394134492,0.23948110262784883,1.840542526666519
2018-07-23,2.7011226891609965,73.45,2.16,2.831574704324289,32.75410986612917,-1.0,-1.0,32.75410986612917,0.27186173924066015,2.112404265907179
2018-07-24,2.172309606402351,73.53,2.178,2.8274800824601325,32.76294324774915,-1.0,-1.0,32.76294324774915,0.298949488581274,2.411353754488453
2018-07-25,1.6369824829823045,73.67,2.198,2.8195099731002777,32.772073483629526,-1.0,-1.0,32.772073483629526,0.13769731639861132,2.5490510708870646
2018-07-26,2.1310356095843304,74.51,2.208,2.8163401770325756,32.78032807536942,-1.0,-1.0,32.78032807536942,0.04010955351950921,2.5891606244065737
2018-07-27,2.340021207695955,74.84,2.211,2.8100650717896363,32.79058290018275,-1.0,-1.0,32.79058290018275,0.17596360969432526,2.765124234100899
2018-07-30,2.0790615665916334,74.99,2.223,2.807443193125176,32.79844284003975,-1.0,-1.0,32.79844284003975,-0.5348348648151386,2.23028936928576
