Date,Spread,WHEATSF,EIANYGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-04-20,-0.637762094703664,4.63,2.067,0.573280120832726,2.548506093228671,1.0,1.0,-2.548506093228671,-0.0006208066871104261,0.40851702049833494
2018-04-23,-0.6446158133726074,4.61,2.064,0.5736556513588609,2.5458409948510696,1.0,1.0,-2.5458409948510696,0.01646047080016662,0.42497749129850154
2018-04-24,-0.5449302540276149,4.72,2.07,0.5737453273349352,2.543444567163099,1.0,1.0,-2.543444567163099,0.03949075440678795,0.4644682457052895
2018-04-25,-0.3807996277929071,4.86,2.062,0.5736236129263917,2.541609906786085,1.0,1.0,-2.541609906786085,-0.039870334399812885,0.42459791130547664
2018-04-26,-0.4872606381093876,4.81,2.086,0.5736172507291601,2.5394346299661494,1.0,1.0,-2.5394346299661494,0.02479787065245241,0.44939578195792906
2018-04-27,-0.38107247594274796,4.9,2.081,0.5736542669347189,2.5377570763780626,1.0,1.0,-2.5377570763780626,-0.07712785542888113,0.37226792652904794
2018-04-30,-0.743279930352502,4.54,2.084,0.57473711697232,2.5351631143726014,1.0,1.0,-2.5351631143726014,0.18969353842542744,0.5619614649544754
2018-05-01,0.026278979723687534,5.23,2.053,0.5748096235600625,2.5346911935101377,1.0,1.0,-2.5346911935101377,0.027161815030308026,0.5891232799847834
2018-05-02,0.08311901414689515,5.23,2.031,0.5748464825645412,2.534160997465832,-1.0,-1.0,2.534160997465832,-0.0017329618179512847,0.5873903181668322
2018-05-03,0.15976141664541288,5.35,2.048,0.5752045089189319,2.534296183278607,-1.0,-1.0,2.534296183278607,0.04904805158539085,0.636438369752223
2018-05-04,-0.020149791220438473,5.22,2.068,0.5752734772455915,2.533921562485705,-1.0,-1.0,2.533921562485705,0.03539702730656031,0.6718353970587834
2018-05-07,-0.17629623795397276,5.08,2.075,0.5752741333291361,2.533154813471794,1.0,1.0,-2.533154813471794,-0.0014192731917861716,0.6704161238669972
2018-05-08,-0.15998359908330873,5.11,2.081,0.5752730509870815,2.5324284474211,1.0,1.0,-2.5324284474211,-0.0640203065177734,0.6063958173492239
2018-05-09,-0.2969175167895344,5.1,2.132,0.5753285592440515,2.531387202996967,1.0,1.0,-2.531387202996967,-0.0346835518306067,0.5717122655186172
2018-05-10,-0.414723688959481,5.02,2.148,0.5755152179167481,2.5301320712101862,1.0,1.0,-2.5301320712101862,-0.0018014389397990604,0.5699108265788182
2018-05-11,-0.4612409375483395,4.94,2.136,0.5758153643307988,2.528670850912144,1.0,1.0,-2.528670850912144,-0.04189531684238187,0.5280155097364363
2018-05-14,-0.5974973419435479,4.85,2.156,0.5764579364524143,2.526668525947842,1.0,1.0,-2.526668525947842,0.006793505819048626,0.5348090155554849
2018-05-15,-0.551046701898569,4.9,2.159,0.5769667387457683,2.524801622000264,1.0,1.0,-2.524801622000264,-0.05730212111070591,0.47750689444477895
2018-05-16,-0.6698394435599155,4.9,2.208,0.5778314937804451,2.522572211757208,1.0,1.0,-2.522572211757208,0.008407387577198005,0.48591428202197695
2018-05-17,-0.6303636755698507,4.93,2.206,0.5785629894200446,2.5205637695239576,1.0,1.0,-2.5205637695239576,0.07458899872421404,0.5605032807461909
2018-05-18,-0.3469435601304669,5.14,2.178,0.5786617957198852,2.5192578329340987,1.0,1.0,-2.5192578329340987,-0.021502842544171293,0.5390004382020196
2018-05-21,-0.36189545103105214,5.19,2.205,0.5787685519477184,2.5178664177011574,1.0,1.0,-2.5178664177011574,0.029258730894117853,0.5682591690961375
2018-05-22,-0.213601098782644,5.33,2.203,0.5783862770071347,2.516387244113774,1.0,1.0,-2.516387244113774,0.02333074513302294,0.5915899142291604
2018-05-23,-0.10050259879135659,5.43,2.199,0.5776309051346838,2.515008003088384,1.0,1.0,-2.515008003088384,0.022176191135947966,0.6137661053651083
2018-05-24,-0.05478518433602719,5.42,2.178,0.5767890284287042,2.513675474901757,1.0,1.0,-2.513675474901757,0.10361958685341821,0.7173856922185265
2018-05-25,0.25073297354864543,5.55,2.109,0.5751607722910079,2.5126918096023494,1.0,1.0,-2.5126918096023494,0.0,0.7173856922185265
2018-05-28,0.2529347499363839,5.55,2.109,0.573297430137743,2.5116478189016673,-1.0,-1.0,2.5116478189016673,-0.03212396138788517,0.6852617308306413
2018-05-29,0.30995079263680037,5.53,2.079,0.5720063094358794,2.5108461795878787,-1.0,-1.0,2.5108461795878787,0.08448161221655992,0.7697433430472013
