Date,Spread,EIAEBRT,BFO1MEU,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-05-14,1.9088685344767384,72.53,71.38,0.911997979837977,0.9893686111729233,-1.0,-1.0,0.9893686111729233,0.004476372406121344,0.228280068835555
2019-05-15,1.5959079352188041,73.09,72.26,0.9188430623990859,0.9894006651644229,-1.0,-1.0,0.9894006651644229,-0.007103104568617057,0.22117696426693792
2019-05-16,2.1187145005173846,74.7,73.35,0.9311492008952372,0.9895199113767229,-1.0,-1.0,0.9895199113767229,0.0005958544398569302,0.22177281870679486
2019-05-17,2.050891897690363,73.94,72.64,0.9414806769194723,0.9896628318049233,-1.0,-1.0,0.9896628318049233,0.010145354154367256,0.23191817286116212
2019-05-20,1.293858599352987,73.21,72.66,0.945418397520767,0.9897624745478532,-1.0,-1.0,0.9897624745478532,-0.003122896348653187,0.22879527651250894
2019-05-21,1.5071105577460742,72.94,72.16,0.9468367039813458,0.9899236341775766,-1.0,-1.0,0.9899236341775766,-0.00028292444190115493,0.2285123520706078
2019-05-22,1.5054769138381232,71.94,71.14,0.9481431045244025,0.990083259574949,-1.0,-1.0,0.990083259574949,0.0020272069505506696,0.23053955902115847
2019-05-23,1.312874917199693,68.37,67.72,0.9496963727871953,0.99021153400473,-1.0,-1.0,0.99021153400473,0.007166470567575025,0.2377060295887335
2019-05-24,0.8167180152607756,67.98,67.82,0.9482104174508218,0.990316749996155,-1.0,-1.0,0.990316749996155,0.0,0.2377060295887335
2019-05-27,0.8093715228414169,67.98,67.82,0.9464211649694797,0.9904250733877704,-1.0,-1.0,0.9904250733877704,-0.003740210491954301,0.2339658190967792
2019-05-28,1.0605962056809943,70.19,69.79,0.947021559473218,0.9905345148920904,-1.0,-1.0,0.9905345148920904,-0.019752657631833613,0.21421316146494557
2019-05-29,2.42707985701513,70.64,68.85,0.955965449663925,0.990746843035365,-1.0,-1.0,0.990746843035365,-0.0032765609930542547,0.2109366004718913
2019-05-30,2.611784428198021,69.55,67.55,0.9689322915822686,0.9909432357039524,0.0,0.0,-0.0,0.0,0.2109366004718913
2019-05-31,2.4274882736634424,66.78,64.93,0.9808751519362552,0.9911059868525575,0.0,0.0,-0.0,0.0,0.2109366004718913
2019-06-03,2.1980221427490108,63.16,61.5,0.9902364152397976,0.9912516724756257,-1.0,-1.0,0.9912516724756257,0.00011404312017596237,0.21105064359206727
2019-06-04,2.192164398706339,63.56,61.9,0.9990023448779961,0.9914028368545018,-1.0,-1.0,0.9914028368545018,-0.0008823963034900323,0.21016824728857725
2019-06-05,2.2059755801922805,62.14,60.45,1.0092858464719647,0.9914644238181591,-1.0,-1.0,0.9914644238181591,-0.00456192232735209,0.20560632496122516
