Date,Spread,WHEATSF,EIAGCGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-09-27,-0.35993724016549056,4.72,1.716,0.9448427166947398,2.9603363870428265,1.0,1.0,-2.9603363870428265,0.11010659129546875,2.0785256167667763
2019-09-30,-0.12370965352598784,4.8,1.662,0.9451288239524739,2.9625208504969844,1.0,1.0,-2.9625208504969844,0.05824343189766293,2.1367690486644393
2019-10-01,-0.004462861836267429,4.84,1.634,0.9452887235733878,2.9647875531433705,1.0,1.0,-2.9647875531433705,0.04465851978864653,2.1814275684530857
2019-10-02,-0.0011450907900281138,4.74,1.598,0.9455349855401013,2.9669243371652243,1.0,1.0,-2.9669243371652243,-0.003966353162729917,2.177461215290356
2019-10-03,-0.01807534752966422,4.73,1.599,0.945650572475591,2.969402969061704,1.0,1.0,-2.969402969061704,-0.010370842822345551,2.16709037246801
2019-10-04,-0.018164658005149548,4.76,1.608,0.9459174870371719,2.971495434082804,1.0,1.0,-2.971495434082804,-0.030072909575974586,2.1370174628920355
2019-10-07,-0.0823216231512447,4.74,1.622,0.9464377140895369,2.9730712843102616,1.0,1.0,-2.9730712843102616,0.02687268358791031,2.163890146479946
2019-10-08,0.030356096551473755,4.85,1.62,0.9466664250178733,2.9750888292892133,1.0,1.0,-2.9750888292892133,-0.018364745859809378,2.1455254006201363
2019-10-09,-0.0027988234153539793,4.85,1.63,0.9468868318130904,2.9771771922793584,-1.0,-1.0,2.9771771922793584,0.07288064009129817,2.2184060407114345
2019-10-10,-0.16982771000547547,4.78,1.662,0.9476926780785954,2.9782356859238726,1.0,1.0,-2.9782356859238726,0.0009174518981800023,2.2193234926096146
2019-10-11,-0.0724179587795799,4.93,1.679,0.9482617577856423,2.979403191649541,1.0,1.0,-2.979403191649541,0.05932050880824296,2.2786440014178577
2019-10-14,0.04600062398917171,4.96,1.649,0.9485380381430465,2.979987493032643,1.0,1.0,-2.979987493032643,-0.013485960931396045,2.2651580404864617
2019-10-15,-0.005023888505208518,4.92,1.652,0.9489821717285669,2.9812493271823297,-1.0,-1.0,2.9812493271823297,-0.004976600577896615,2.2601814399085653
2019-10-16,0.04085847576139834,4.98,1.656,0.9493439617156224,2.9825733842020545,1.0,1.0,-2.9825733842020545,0.04411512651248253,2.3042965664210477
2019-10-17,0.1976294910945242,5.11,1.646,0.9494516516860739,2.9844292277676043,-1.0,-1.0,2.9844292277676043,-0.0063022615387737305,2.297994304882274
2019-10-18,0.24621389708986285,5.17,1.649,0.9495457114503821,2.9859224396059045,-1.0,-1.0,2.9859224396059045,-0.00987657559046682,2.2881177292918076
2019-10-21,0.20663205056502765,5.09,1.635,0.949577947792762,2.986769388033622,-1.0,-1.0,2.986769388033622,0.01909490032507975,2.3072126296168873
2019-10-22,0.13374551059715145,5.03,1.639,0.949657982086812,2.987342580477638,-1.0,-1.0,2.987342580477638,0.039767738452174184,2.3469803680690617
2019-10-23,0.0815840310964635,5.05,1.663,0.9497373507163881,2.987622350513251,-1.0,-1.0,2.987622350513251,0.009677121085131943,2.356657489154194
2019-10-24,0.105221883017518,5.11,1.675,0.9497486849356565,2.9879272340193923,-1.0,-1.0,2.9879272340193923,-0.005697731479491845,2.350959757674702
2019-10-25,0.1280885404406087,5.13,1.674,0.9495597363613693,2.987999677156148,-1.0,-1.0,2.987999677156148,0.012494622305910323,2.3634543799806123
2019-10-28,0.10702657877962629,5.13,1.681,0.9494435633511137,2.988086508756915,-1.0,-1.0,2.988086508756915,0.04724720338405031,2.410701583364663
2019-10-29,-0.012111167892538965,5.07,1.701,0.9494105557819503,2.987719675421834,-1.0,-1.0,2.987719675421834,-0.06609724746319773,2.344604335901465
2019-10-30,0.08259114981103988,5.04,1.66,0.9475892091813622,2.9863908736078075,1.0,1.0,-2.9863908736078075,0.050187761771671856,2.394792097673137
2019-10-31,0.16143728137123947,5.03,1.631,0.9452004246894138,2.985016994867419,-1.0,-1.0,2.985016994867419,0.02801965053582789,2.422811748208965
2019-11-01,0.17700810120802046,5.11,1.655,0.9318583114452357,2.9806597575782354,-1.0,-1.0,2.9806597575782354,0.04431567900636986,2.4671274272153347
2019-11-04,0.05891527321091061,5.04,1.672,0.9296963768371073,2.979117659562853,-1.0,-1.0,2.979117659562853,-0.06073795781769961,2.4063894693976353
2019-11-05,0.4020685706450644,5.4,1.678,0.9275221230004083,2.978505023453478,-1.0,-1.0,2.978505023453478,-0.09237852419757703,2.3140109452000583
2019-11-06,0.5641114845900796,5.41,1.627,0.9257587326447656,2.9784194931837247,-1.0,-1.0,2.9784194931837247,-0.007340290224273254,2.306670654975785
2019-11-07,0.5837006395106412,5.42,1.624,0.9232657977506632,2.9780168475919697,-1.0,-1.0,2.9780168475919697,-0.012813751048109064,2.293856903927676
2019-11-08,0.5909232038924497,5.4,1.615,0.9210724142567505,2.9777565300975546,-1.0,-1.0,2.9777565300975546,-0.0479471541753432,2.245909749752333
2019-11-11,0.6755161464281398,5.41,1.59,0.9189640523213433,2.977662800988591,-1.0,-1.0,2.977662800988591,-0.022083885767865973,2.223825863984467
2019-11-12,0.8232251787877383,5.57,1.594,0.9170841831382146,2.9779013934832257,-1.0,-1.0,2.9779013934832257,0.06480389775909443,2.2886297617435614
2019-11-13,0.6637532759833631,5.49,1.621,0.9137263139517122,2.9773267884124843,-1.0,-1.0,2.9773267884124843,-0.029418013485449146,2.259211748258112
2019-11-14,0.6980679135600623,5.47,1.603,0.9105505079480548,2.9768759116905414,-1.0,-1.0,2.9768759116905414,0.03157011260058593,2.290781860858698
2019-11-15,0.6485365220534991,5.47,1.62,0.9069196869379691,2.976212023423766,-1.0,-1.0,2.976212023423766,-0.049558461969758376,2.24122339888894
2019-11-18,0.7642441973144001,5.52,1.598,0.9043181033425857,2.9760674610047553,-1.0,-1.0,2.9760674610047553,-0.04071826315284158,2.200505135736098
2019-11-19,0.8651967741637563,5.57,1.581,0.9011238855646071,2.9758401175434814,-1.0,-1.0,2.9758401175434814,0.0925780175831275,2.2930831533192255
2019-11-20,0.7482375404029469,5.61,1.634,0.8976005197583109,2.975374822274819,-1.0,-1.0,2.975374822274819,0.07074699272530677,2.363830146044532
2019-11-21,0.5845701942914472,5.54,1.666,0.8935057035954003,2.9744476624901277,-1.0,-1.0,2.9744476624901277,-0.03761106616866189,2.3262190798758704
2019-11-22,0.6902236998834761,5.6,1.651,0.8897329488471761,2.9738196851099477,-1.0,-1.0,2.9738196851099477,0.011055484252568012,2.3372745641284385
2019-11-25,0.7854548599476932,5.76,1.673,0.8860959444792117,2.9734280574132135,-1.0,-1.0,2.9734280574132135,0.03529890982493593,2.3725734739533744
2019-11-26,0.6846795146236033,5.7,1.687,0.8826455724161708,2.9729226350778877,-1.0,-1.0,2.9729226350778877,-0.054645612751604185,2.31792786120177
2019-11-27,0.7641604071429722,5.68,1.654,0.8776345630886759,2.9720916522714798,-1.0,-1.0,2.9720916522714798,0.0,2.31792786120177
2019-11-28,0.7653043292889468,5.68,1.654,0.8731455731973728,2.9714000427515437,-1.0,-1.0,2.9714000427515437,0.0,2.31792786120177
2019-11-29,0.7666987791389124,5.68,1.654,0.8680514503086008,2.970556965454104,-1.0,-1.0,2.970556965454104,-0.23467171414058546,2.0832561470611846
