Date,Spread,WHEATSF,NATBGAS,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2021-04-16,-1.1824520046991882,6.81,0.7068929999999999,2.4304729977807806,11.30645232687152,1.0,1.0,-11.30645232687152,-0.4356372985597563,-3.566587508916322
2021-04-19,-1.4797987861043547,6.8,0.73403776,2.4221034536529076,11.279799537975205,1.0,1.0,-11.279799537975205,-0.032751931724786125,-3.599339440641108
2021-04-20,-1.4225354766761358,6.87,0.7368390000000001,2.4129481410865075,11.254202718200496,1.0,1.0,-11.254202718200496,0.0369168911616976,-3.5624225494794106
2021-04-21,-1.253112445295578,7.01,0.7357561899999999,2.404067446824738,11.230775299757354,1.0,1.0,-11.230775299757354,-0.09928755459121985,-3.6617101040706306
2021-04-22,-0.9798619564744753,7.38,0.7457186299999999,2.394444719296978,11.210477544961531,1.0,1.0,-11.210477544961531,0.6585190504656477,-3.003191053604983
2021-04-23,-0.47891559495075153,7.38,0.70191408,2.384500748602678,11.196406823682397,1.0,1.0,-11.196406823682397,-0.2078631611220428,-3.211054214727026
2021-04-26,-0.3531271163828027,7.67,0.7174087,2.374349530356119,11.183481767621165,1.0,1.0,-11.183481767621165,-0.7126967435882192,-3.923750958315245
2021-04-27,-0.9129898732019246,7.6,0.7625419999999999,2.36453260902419,11.163961949901678,1.0,1.0,-11.163961949901678,-0.04258345273085297,-3.966334411046098
2021-04-28,-1.0199511504519183,7.5,0.76455188,2.354197634233983,11.14371878917088,1.0,1.0,-11.14371878917088,-0.7354986938745927,-4.7018331049206905
2021-04-29,-1.5069696419309286,7.56,0.81556208,2.3434069788956844,11.117448768499546,1.0,1.0,-11.117448768499546,-0.24412396842418954,-4.94595707334488
2021-04-30,-1.6295862650136579,7.62,0.83405292,2.3332419667523605,11.089927321414638,1.0,1.0,-11.089927321414638,-0.08798982687281358,-5.0339469002176935
2021-05-03,-1.8291910277128869,7.45,0.8389926,2.3237053663760308,11.059919989416935,1.0,1.0,-11.059919989416935,0.16214632619449806,-4.8718005740231956
2021-05-04,-1.6352653004537103,7.49,0.827099665,2.3136476919261377,11.032848502548614,1.0,1.0,-11.032848502548614,-0.39545385328479615,-5.267254427307992
2021-05-05,-1.8038519595041889,7.64,0.8582470000000001,2.3029075628850846,11.003652747407433,1.0,1.0,-11.003652747407433,-0.07034531800836083,-5.337599745316353
