Date,Spread,EIAEBRT,EIANYLS,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-10-07,-3.8638511805787346,59.46,1.914,2.8337995343852214,33.084561745338945,1.0,1.0,-33.084561745338945,0.11608468142068909,-0.6272451500481306
2019-10-08,-4.882119869436124,58.14,1.906,2.8364935768231856,33.06512060306198,1.0,1.0,-33.06512060306198,-0.2854306337807837,-0.9126757838289143
2019-10-09,-3.8853416730693553,59.7,1.924,2.8366672294914994,33.04851438309218,1.0,1.0,-33.04851438309218,-0.21650904996262896,-1.1291848337915433
2019-10-10,-4.8623681483610355,59.08,1.936,2.8370607971214454,33.028082721260866,1.0,1.0,-33.028082721260866,-0.4862402378407853,-1.6154250716323286
2019-10-11,-4.309601876225628,60.59,1.966,2.8389455277766795,33.01098772951456,1.0,1.0,-33.01098772951456,0.7430054476222825,-0.8724196240100461
2019-10-14,-4.543251036742689,58.81,1.92,2.844840501826178,32.996484914970154,1.0,1.0,-32.996484914970154,-0.19976654457675375,-1.0721861685868
2019-10-15,-4.534813839968969,59.19,1.932,2.851337362827757,32.98385809522203,1.0,1.0,-32.98385809522203,-0.44202372624863484,-1.5142098948354348
2019-10-16,-5.249609705411956,59.3,1.958,2.8601359632734105,32.967114251997934,1.0,1.0,-32.967114251997934,-0.18436533671329555,-1.6985752315487304
2019-10-17,-5.5343895639380705,59.35,1.969,2.871338105517667,32.95296575111126,1.0,1.0,-32.95296575111126,0.14416512505441548,-1.554410106494315
2019-10-18,-4.638700166286007,59.96,1.961,2.8778134157484305,32.94171349632127,1.0,1.0,-32.94171349632127,-0.06723984121079699,-1.621649947705112
2019-10-21,-5.729171097240325,58.95,1.964,2.8862998511426485,32.93236817578428,1.0,1.0,-32.93236817578428,0.16043753493070076,-1.4612124127744113
2019-10-22,-3.901118010934539,60.5,1.956,2.88869558082241,32.92490695855549,1.0,1.0,-32.92490695855549,-0.3699904608987593,-1.8312028736731705
2019-10-23,-4.58354930114097,60.52,1.978,2.8947916504483713,32.91382674476288,1.0,1.0,-32.91382674476288,-0.3131361357271467,-2.1443390094003174
2019-10-24,-4.041186546059329,61.71,1.998,2.894308321224905,32.90850177480447,1.0,1.0,-32.90850177480447,0.2527325142988375,-1.89160649510148
2019-10-25,-3.2014275662152443,62.06,1.983,2.8793851147036684,32.91045263046659,1.0,1.0,-32.91045263046659,0.2552275694856099,-1.63637892561587
2019-10-28,-4.304016053776607,60.39,1.966,2.8768829059834187,32.906417117892474,1.0,1.0,-32.906417117892474,0.14483096426294648,-1.4915479613529237
2019-10-29,-3.3758162532892584,61.05,1.958,2.8723448857341167,32.90388981271157,1.0,1.0,-32.90388981271157,0.6417936071889305,-0.8497543541639931
2019-10-30,-2.9134432020476595,60.22,1.919,2.871656293771809,32.89913663473041,1.0,1.0,-32.89913663473041,0.4990395667882357,-0.35071478737575745
2019-10-31,-2.845697738633959,59.3,1.889,2.8643726000807614,32.89872828937742,1.0,1.0,-32.89872828937742,-0.6993827590636379,-1.0500975464393953
2019-11-01,-3.3292298636916158,60.17,1.93,2.847380830478371,32.901155369788405,1.0,1.0,-32.901155369788405,-0.3700775302997612,-1.4201750767391565
2019-11-04,-1.773907216917543,62.52,1.954,2.836683515941494,32.903739619712155,1.0,1.0,-32.903739619712155,-0.19887107251405595,-1.6190461492532124
2019-11-05,-1.974688369317974,62.72,1.966,2.8238135436759757,32.90675908917496,1.0,1.0,-32.90675908917496,0.4924119624025488,-1.1266341868506635
2019-11-06,-1.6109922665175844,62.11,1.936,2.80091754586121,32.913735674854124,1.0,1.0,-32.913735674854124,0.21189998710284752,-0.914734199747816
2019-11-07,-0.738819364697541,62.6,1.924,2.7849613054190017,32.92038428518583,1.0,1.0,-32.92038428518583,0.0759672696763174,-0.8387669300714986
2019-11-08,-1.1831104028125665,62.0,1.919,2.7719833278969,32.92501844857351,1.0,1.0,-32.92501844857351,0.11229913818411279,-0.7264677918873859
2019-11-11,-0.4196738268422564,62.58,1.913,2.7560379671056965,32.932396145761764,1.0,1.0,-32.932396145761764,0.1487034528451033,-0.5777643390422825
2019-11-12,-0.5407469413286918,62.19,1.904,2.707202877816745,32.94682087254658,1.0,1.0,-32.94682087254658,-0.3794016758534145,-0.9571660148956971
2019-11-13,-1.1911508257836587,62.27,1.926,2.6985176856758812,32.94971486281602,1.0,1.0,-32.94971486281602,-0.08248801047908869,-1.0396540253747857
2019-11-14,-1.171774934859016,62.46,1.931,2.689515755412155,32.95275760479493,1.0,1.0,-32.95275760479493,-0.48111983142951015,-1.5207738568042959
2019-11-15,-1.2718098040235972,63.32,1.96,2.6817745325959743,32.95500500205286,1.0,1.0,-32.95500500205286,0.8664200599961909,-0.654353796808105
2019-11-18,-0.06635310279290252,62.82,1.908,2.676306511933216,32.959304561212214,1.0,1.0,-32.959304561212214,0.7356302276496957,0.08127643084159064
2019-11-19,0.8881595255794608,62.37,1.865,2.6717305941670095,32.96613430263836,1.0,1.0,-32.96613430263836,-0.6664445558763631,-0.5851681250347724
2019-11-20,1.0199933465508266,63.8,1.904,2.6689372835002856,32.97269257008885,-1.0,-1.0,32.97269257008885,0.7086867690755791,0.1235186440408067
2019-11-21,0.8172150279590085,64.99,1.946,2.669267109432954,32.9767651449337,-1.0,-1.0,32.9767651449337,-0.06532177269961043,0.05819687134119628
2019-11-22,0.7821751841821651,64.83,1.942,2.6700109376578753,32.980342335642554,-1.0,-1.0,32.980342335642554,0.13832934166056848,0.19652621300176476
2019-11-25,0.34258000838239866,64.67,1.95,2.657034636911856,32.98842050852185,-1.0,-1.0,32.98842050852185,0.2683547514884498,0.46488096449021454
2019-11-26,-0.03669967173044597,64.82,1.966,2.6569791430879786,32.98916565194834,-1.0,-1.0,32.98916565194834,-0.28849702265344934,0.1763839418367652
