Date,Spread,CRUDOIL,EIAGCGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-09-21,3.196116822241038,71.91,2.035,2.5570383034062587,33.76603595958671,-1.0,-1.0,33.76603595958671,0.7451835932595076,6.255600136166811
2018-09-24,2.912070572691519,73.21,2.081,2.5447734063941527,33.78084066665472,-1.0,-1.0,33.78084066665472,0.26396214560992,6.519562281776731
2018-09-25,2.0372904027867946,72.9,2.097,2.5354112435043183,33.792422316267626,-1.0,-1.0,33.792422316267626,0.08270277251140894,6.60226505428814
2018-09-26,0.5554439150997013,71.57,2.101,2.5303055745458587,33.80035986906249,-1.0,-1.0,33.80035986906249,0.5553864178798048,7.157651472167945
2018-09-27,-0.0898666777493986,72.12,2.136,2.5303085863069246,33.80611735849691,-1.0,-1.0,33.80611735849691,0.2059073450104901,7.363558817178435
2018-09-28,0.5503577611597876,73.25,2.15,2.527108804479661,33.81378708783266,1.0,1.0,-33.81378708783266,-0.4123792511605384,6.951179566017897
2018-10-01,1.6309098650698388,75.3,2.178,2.5203508140995985,33.82419198114332,-1.0,-1.0,33.82419198114332,-0.18542956959527318,6.765749996422624
2018-10-02,1.9412567239424305,75.23,2.166,2.5119681868240082,33.83598489199334,-1.0,-1.0,33.83598489199334,0.21863599305846892,6.984385989481093
2018-10-03,2.586491129485779,76.41,2.181,2.505468906959377,33.848468074513626,-1.0,-1.0,33.848468074513626,-0.46940886698165357,6.51497712249944
2018-10-04,1.5677022736540778,74.33,2.149,2.499724576679457,33.85867739708977,-1.0,-1.0,33.85867739708977,-0.2994899891338171,6.215487133365623
2018-10-05,2.1941074030585668,74.34,2.13,2.49067919609536,33.871311078376266,-1.0,-1.0,33.871311078376266,0.0483786573597231,6.263865790725346
2018-10-08,2.015747160276888,74.29,2.133,2.480393809347641,33.88385037024056,-1.0,-1.0,33.88385037024056,-0.4220426718402823,5.841823118885063
2018-10-09,3.5295541823482495,74.96,2.107,2.464672969167341,33.90149303163348,-1.0,-1.0,33.90149303163348,-0.9415166972714519,4.900306421613611
2018-10-10,3.741135545520592,73.17,2.047,2.4556717915621276,33.91737393965774,-1.0,-1.0,33.91737393965774,-1.4611707730492,3.4391356485644113
2018-10-11,4.555759127641423,70.97,1.957,2.442059728298762,33.936760793233816,-1.0,-1.0,33.936760793233816,0.06415139572950068,3.503287044293912
2018-10-12,4.747180042806818,71.34,1.961,2.420985841473633,33.95860273186802,-1.0,-1.0,33.95860273186802,0.1150512297928445,3.6183382740867565
2018-10-15,4.905948940331243,71.78,1.968,2.401689401944288,33.98071700186421,-1.0,-1.0,33.98071700186421,0.5678482042507019,4.186186478337459
2018-10-16,3.8850319281983587,71.92,2.001,2.382820626601255,34.00048379400382,-1.0,-1.0,34.00048379400382,-0.9553488555983085,3.23083762273915
2018-10-17,3.655306536820845,69.75,1.943,2.3726051901650753,34.01682628058629,-1.0,-1.0,34.01682628058629,-0.9996570408477577,2.2311805818913926
2018-10-18,4.493005199678947,68.65,1.885,2.3615718225317384,34.03554100812788,-1.0,-1.0,34.03554100812788,0.4084414463461337,2.6396220282375262
2018-10-19,4.143913342306988,69.12,1.908,2.3469287926698525,34.054552755604306,-1.0,-1.0,34.054552755604306,-0.057017116492038285,2.582604911745488
