Date,Spread,LNICASH,RHODNWE,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-12-12,-4444.228989328221,10727.0,2560.0,933.056972127077,5.926261323956337,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-12-13,-4359.795225628579,10780.5,2560.0,937.2265603353836,5.914177822511164,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-12-14,-3955.2545829051487,11009.5,2535.0,938.5042689034173,5.903256245721952,0.0,0.0,-0.0,-0.0,-2.1410026029608047
2018-12-17,-4028.3324700808535,10907.5,2535.0,940.8605070018392,5.891847128237023,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-12-18,-3977.094886114608,10752.5,2505.0,943.3889349892428,5.880077798848147,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-12-19,-3803.699770752648,10868.0,2500.0,945.1563009305038,5.8686799083010595,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-12-20,-3753.4637687328886,10832.0,2490.0,946.7138339607602,5.85761597137867,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-12-21,-3704.4587900340903,10796.0,2480.0,947.9910092973766,5.846959189529875,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-12-24,-3614.1577461329034,10801.0,2470.0,948.9942918711539,5.836096253495103,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-12-25,-3587.846933799219,10801.0,2470.0,949.9583961411447,5.82544410275272,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-12-26,-3561.676029707158,10801.0,2470.0,950.8191154473488,5.8148485950231406,0.0,0.0,-0.0,-0.0,-2.1410026029608047
2018-12-27,-4181.469315251681,10673.0,2560.0,953.9661642712916,5.802527076270188,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-12-28,-3542.1737169085627,10647.0,2450.0,953.996167556457,5.791499476289209,0.0,0.0,-0.0,-0.0,-2.1410026029608047
2018-12-31,-3558.6031125107,10604.5,2450.0,954.608654910342,5.780858413269674,0.0,0.0,-0.0,0.0,-2.1410026029608047
2019-01-01,-3532.1696124176688,10604.5,2450.0,954.6956530501805,5.770069229558232,0.0,0.0,-0.0,0.0,-2.1410026029608047
2019-01-02,-3319.8493628588712,10791.0,2450.0,953.9130428258777,5.759530352187294,0.0,0.0,-0.0,0.0,-2.1410026029608047
2019-01-03,-3290.2285192095696,10796.0,2450.0,953.7882283491159,5.749481028248804,0.0,0.0,-0.0,0.0,-2.1410026029608047
2019-01-04,-3020.8058442396614,11042.5,2450.0,953.5686268370773,5.740124834383535,0.0,0.0,-0.0,0.0,-2.1410026029608047
2019-01-07,-2959.4531269881154,11081.0,2450.0,953.1701472793845,5.730797194689027,0.0,0.0,-0.0,0.0,-2.1410026029608047
2019-01-08,-2904.536645330736,11112.5,2450.0,952.0703141947923,5.72123944707377,0.0,0.0,-0.0,0.0,-2.1410026029608047
2019-01-09,-2809.924739630973,11184.0,2450.0,950.7578589751662,5.711806016175907,0.0,0.0,-0.0,0.0,-2.1410026029608047
2019-01-10,-2776.6976011678507,11194.0,2450.0,949.0458684699561,5.702325551497082,0.0,0.0,-0.0,0.0,-2.1410026029608047
2019-01-11,-2532.2868530516425,11414.0,2450.0,943.5083408448113,5.692361980837405,0.0,0.0,-0.0,-0.0,-2.1410026029608047
2019-01-14,-2566.8311593838916,11354.5,2450.0,936.784024168649,5.682175983421996,0.0,0.0,-0.0,0.0,-2.1410026029608047
2019-01-15,-2237.2575852126047,11661.0,2450.0,932.2251978008817,5.672758198045961,0.0,0.0,-0.0,-0.0,-2.1410026029608047
2019-01-16,-2311.0016004509835,11563.5,2450.0,927.0781641030587,5.663061877735095,1.0,1.0,-5.663061877735095,-0.0015566221299779803,-2.142559225090783
2019-01-17,-2307.3414989345674,11545.5,2450.0,926.5683835101623,5.654221019973293,1.0,1.0,-5.654221019973293,-0.0035037270589928678,-2.1460629521497756
2019-01-18,-2116.472872403243,11771.5,2460.0,926.4744811132847,5.645517427806197,1.0,1.0,-5.645517427806197,-0.025965016236135275,-2.172027968385911
2019-01-21,-2185.4902257064514,11736.0,2470.0,925.2179565044246,5.636230860609899,1.0,1.0,-5.636230860609899,-0.03011250986274982,-2.2021404782486607
2019-01-22,-2411.5169735381533,11516.5,2475.0,925.7310830856333,5.627481605469961,1.0,1.0,-5.627481605469961,0.009681760951677942,-2.192458717296983
2019-01-23,-2277.9105888707672,11628.0,2475.0,925.9689605898986,5.618549732877078,0.0,0.0,-0.0,0.0,-2.192458717296983
2019-01-24,-2234.3072295956845,11707.0,2485.0,926.943532716327,5.610183995813153,1.0,1.0,-5.610183995813153,0.017083796019475628,-2.1753749212775073
2019-01-25,-2015.2687772991667,11907.0,2485.0,928.8359648097875,5.60252264680047,1.0,1.0,-5.60252264680047,-0.012261694801377288,-2.1876366160788847
2019-01-28,-2141.5913331481424,11761.0,2485.0,930.1789881433604,5.594604158208508,1.0,1.0,-5.594604158208508,0.024912847546977313,-2.162723768531907
2019-01-29,-1830.8056437734886,12054.0,2485.0,932.8317916681323,5.587446939144261,1.0,1.0,-5.587446939144261,0.018831923013107765,-2.1438918455187994
2019-01-30,-1586.711704190604,12281.0,2485.0,936.597131659735,5.580568090217547,1.0,1.0,-5.580568090217547,-0.0010094696861173667,-2.144901315204917
2019-01-31,-1471.181224937207,12406.5,2490.0,939.9784716470416,5.573365953790043,1.0,1.0,-5.573365953790043,-0.007471457491821064,-2.152372772696738
2019-02-01,-1322.362299082779,12591.5,2500.0,941.184475763262,5.565544919633112,1.0,1.0,-5.565544919633112,0.04784973990390351,-2.1045230327928346
2019-02-04,-703.0276972326265,13194.0,2500.0,946.9565567966741,5.558811078893051,1.0,1.0,-5.558811078893051,-0.038568426064852224,-2.143091458857687
2019-02-05,-956.9280585380093,12978.5,2510.0,952.1171340841431,5.551963369935462,1.0,1.0,-5.551963369935462,-0.009477212312670957,-2.152568671170358
2019-02-06,-1063.3565514775091,12855.5,2510.0,957.7024817523393,5.545361175887454,1.0,1.0,-5.545361175887454,0.00420053673524956,-2.1483681344351084
2019-02-07,-993.1805635027231,12909.5,2510.0,963.9336673573999,5.538916559164432,1.0,1.0,-5.538916559164432,-0.04339358832851456,-2.191761722763623
