Date,Spread,EIAEBRT,EIANYHO,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-09-13,-1.6248813091636336,61.25,1.863,3.051838839923684,33.749265329663785,1.0,1.0,-33.749265329663785,-3.6147415977918698,-3.747387575529016
2019-09-16,-1.3812513826278092,68.42,2.069,3.0471868897920107,33.73670922311639,1.0,1.0,-33.73670922311639,1.279407978446431,-2.467979597082585
2019-09-17,-1.45263209677708,65.59,1.988,3.0423235928986934,33.72365799636674,1.0,1.0,-33.72365799636674,0.18374323341927243,-2.2842363636633123
2019-09-18,-2.3168172130258995,64.29,1.976,3.037518609836563,33.7079034478876,1.0,1.0,-33.7079034478876,-0.6147337820208107,-2.898970145684123
2019-09-19,-3.5268632824931245,64.25,2.012,3.029273841403189,33.686313758694396,1.0,1.0,-33.686313758694396,0.46730583652091345,-2.4316643091632093
2019-09-20,-1.6091884089461104,65.23,1.985,3.024626369578713,33.67213521861265,1.0,1.0,-33.67213521861265,0.11000473551769188,-2.3216595736455172
2019-09-23,-1.9060399450367242,64.66,1.978,3.012257115193284,33.6532052300489,1.0,1.0,-33.6532052300489,0.5702709115609539,-1.7513886620845633
2019-09-24,-1.2604090617507353,64.13,1.944,3.002717839335651,33.637041698431446,1.0,1.0,-33.637041698431446,0.05969450412743417,-1.6916941579571292
2019-09-25,-2.779287412169978,62.41,1.939,2.9986970327787072,33.620055395652386,1.0,1.0,-33.620055395652386,0.04672897489540605,-1.6449651830617231
2019-09-26,-2.9744199711352195,62.08,1.936,2.9952937568629916,33.60248965451199,1.0,1.0,-33.60248965451199,0.1452965620042452,-1.499668621057478
2019-09-27,-2.275848396274661,62.48,1.928,2.991506780998062,33.58705829682295,1.0,1.0,-33.58705829682295,0.7600826713290749,-0.739585949728403
2019-09-30,-2.228451480042189,60.99,1.883,2.9890248963425674,33.573261540118,1.0,1.0,-33.573261540118,-0.05090773386810997,-0.790493683596513
2019-10-01,-3.1983819977842103,60.06,1.885,2.98953416831258,33.55882334099958,1.0,1.0,-33.55882334099958,0.5874770900639169,-0.20301659353259605
2019-10-02,-4.132367697189231,57.92,1.85,2.99206216054413,33.54182037685904,1.0,1.0,-33.54182037685904,-0.30666826578944073,-0.5096848593220368
2019-10-03,-4.582601310514804,58.01,1.867,2.997850951400035,33.525763958497485,1.0,1.0,-33.525763958497485,-0.2141342970161994,-0.7238191563382361
2019-10-04,-3.8706258626551033,59.13,1.88,3.000911692510012,33.51097120353995,1.0,1.0,-33.51097120353995,-0.24396886216913305,-0.9677880185073692
2019-10-07,-3.976823297925712,59.46,1.894,3.0023487817565244,33.49357090703575,1.0,1.0,-33.49357090703575,0.11927251821354004,-0.8485155002938292
2019-10-08,-4.99294932205008,58.14,1.886,3.0082525956968547,33.47452244011139,1.0,1.0,-33.47452244011139,-0.2926493408059321,-1.1411648410997612
2019-10-09,-4.0050160050882795,59.7,1.904,3.0112768807117405,33.45851680939511,1.0,1.0,-33.45851680939511,-0.1685400134574125,-1.3097048545571737
2019-10-10,-4.8878394919058294,59.08,1.913,3.0150375362673105,33.438494245638175,1.0,1.0,-33.438494245638175,-0.3764724691368246,-1.6861773236939983
2019-10-11,-4.1158022787221,60.59,1.936,3.0181839533523593,33.422418532397785,1.0,1.0,-33.422418532397785,0.7647499279501175,-0.9214273957438808
2019-10-14,-4.33313873577319,58.81,1.89,3.0231289935703107,33.40906811416571,1.0,1.0,-33.40906811416571,0.02413824175777203,-0.8972891539861088
2019-10-15,-3.8999737467552436,59.19,1.889,3.0260136760676986,33.39860971241675,1.0,1.0,-33.39860971241675,-0.952892729091808,-1.8501818830779166
2019-10-16,-5.560452309709703,59.3,1.943,3.0362142204044473,33.38160180633541,1.0,1.0,-33.38160180633541,-0.22250259575389117,-2.0726844788318077
2019-10-17,-5.916250957201278,59.35,1.956,3.047388337586914,33.36720396584933,1.0,1.0,-33.36720396584933,0.12969029592580034,-1.9429941829060073
2019-10-18,-5.05052046998204,59.96,1.949,3.053277239224016,33.35583400204312,1.0,1.0,-33.35583400204312,0.034498434395700696,-1.9084957485103067
2019-10-21,-5.943001132825458,58.95,1.946,3.058064022255353,33.346865946981225,1.0,1.0,-33.346865946981225,-0.02511485461771444,-1.9336106031280211
