Date,Spread,EIAEBRT,EIAUSGJ,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2021-01-19,0.26465440568961185,55.38,1.443,3.2924986927449487,38.19497269182979,1.0,1.0,-38.19497269182979,0.031525119431548225,78.14977588866245
2021-01-20,0.5692240889576965,55.66,1.442,3.293716302298552,38.20442157492531,-1.0,-1.0,38.20442157492531,0.05262877757566973,78.20240466623811
2021-01-21,0.498585886998832,55.68,1.444,3.2952998899016235,38.21427570152436,-1.0,-1.0,38.21427570152436,-0.6004146422672475,77.60199002397086
2021-01-22,0.8917850330641954,55.22,1.421,3.296854833405478,38.23238210199564,-1.0,-1.0,38.23238210199564,1.1529423475046727,78.75493237147553
2021-01-25,-0.5601449103341736,55.44,1.464,3.3019351332547835,38.25146510268728,-1.0,-1.0,38.25146510268728,-1.433795993097369,77.32113637837817
2021-01-26,1.3283196016648375,55.26,1.409,3.3025580444458424,38.27656522238124,1.0,1.0,-38.27656522238124,-0.410924791595314,76.91021158678285
2021-01-27,0.5343137601797139,55.07,1.424,3.3046280499006437,38.29753247178391,-1.0,-1.0,38.29753247178391,-0.15773426618581943,76.75247732059704
2021-01-28,0.5358641349823259,54.87,1.418,3.3068688005034694,38.317444192537145,-1.0,-1.0,38.317444192537145,-0.03394763520859765,76.71852968538845
2021-01-29,0.9165087391053959,55.25,1.417,3.307860385943407,38.34403052991856,-1.0,-1.0,38.34403052991856,0.9800438043637645,77.6985734897522
2021-02-01,0.6317105837297703,56.42,1.454,3.309663699591792,38.36883728766866,-1.0,-1.0,38.36883728766866,0.7703850858333106,78.46895857558552
2021-02-02,0.6465760650014118,57.62,1.484,3.3116834583795995,38.39179510444649,-1.0,-1.0,38.39179510444649,0.5260985852130248,78.99505716079854
2021-02-03,0.7979556951865092,58.61,1.505,3.3133437947268334,38.413318474959134,-1.0,-1.0,38.413318474959134,0.40206787853350645,79.39712503933204
2021-02-04,0.5288877713246478,58.98,1.521,3.3151416181790863,38.42939660004954,-1.0,-1.0,38.42939660004954,0.14311780287711165,79.54024284220915
2021-02-05,0.7827186990323156,59.48,1.527,3.313419123486593,38.43960792466777,-1.0,-1.0,38.43960792466777,0.995330907312953,80.5355737495221
2021-02-08,-0.07373481542541782,60.17,1.567,3.31371756291845,38.44526791029063,-1.0,-1.0,38.44526791029063,0.03959546590260333,80.57516921542471
2021-02-09,0.3974165517784627,60.74,1.569,3.315125088678495,38.45926287330882,1.0,1.0,-38.45926287330882,0.007079354626275958,80.58224857005098
2021-02-10,0.804112860469445,61.17,1.569,3.315769639957247,38.474115449031586,-1.0,-1.0,38.474115449031586,-0.36651354076971976,80.21573502928126
2021-02-11,1.293038949360941,61.09,1.554,3.3093069309230008,38.47938291546915,-1.0,-1.0,38.47938291546915,0.6459710851561471,80.86170611443741
2021-02-12,1.6251160182880824,62.47,1.581,3.3019082351129674,38.48506260702841,-1.0,-1.0,38.48506260702841,-0.01776852889386915,80.84393758554354
2021-02-15,2.7044527093873327,63.58,1.581,3.3000480710859885,38.504457489318575,-1.0,-1.0,38.504457489318575,1.2361025516092872,82.08004013715284
2021-02-16,1.096791292078315,63.96,1.632,3.3003940693173095,38.51912298279515,-1.0,-1.0,38.51912298279515,0.6206920442526199,82.70073218140546
2021-02-17,1.0838114289470795,65.02,1.659,3.3013289846113065,38.53899250816933,-1.0,-1.0,38.53899250816933,-0.798755622379471,81.90197655902598
2021-02-18,1.4674288211239883,64.09,1.624,3.3017600524768405,38.560696538716755,-1.0,-1.0,38.560696538716755,-0.12296180485683625,81.77901475416914
2021-02-19,0.41725588003798464,62.84,1.618,3.303892918757784,38.58018796042152,-1.0,-1.0,38.58018796042152,1.2336751371027963,83.01268989127193
2021-02-22,0.24554675422055539,64.73,1.671,3.3058238141930687,38.59033707108285,-1.0,-1.0,38.59033707108285,1.0556882634066778,84.06837815467861
2021-02-23,-1.1148715580709592,65.16,1.717,3.312339916995291,38.5992263005655,-1.0,-1.0,38.5992263005655,0.8058468207871722,84.87422497546578
2021-02-24,-0.8728797853812864,66.85,1.754,3.3128383082664854,38.61053579554235,1.0,1.0,-38.61053579554235,0.5479277876515192,85.4221527631173
2021-02-25,-0.11292069946946981,66.69,1.729,3.2991665546213444,38.636738403394716,1.0,1.0,-38.636738403394716,1.0378300673458885,86.45998283046319
2021-02-26,0.8283692870181909,65.86,1.682,3.2879240329300634,38.66327628595827,1.0,1.0,-38.66327628595827,0.8307612923672699,87.29074412283046
2021-03-01,0.9230628168168735,64.56,1.645,3.278867722303035,38.68506819646391,-1.0,-1.0,38.68506819646391,-0.19012046968276772,87.1006236531477
2021-03-02,-0.14604400321626088,63.17,1.636,3.272932916505438,38.701738388274,-1.0,-1.0,38.701738388274,0.4252497090917227,87.52587336223941
2021-03-03,0.6237981768458098,64.7,1.655,3.2677941434253692,38.716738261724586,1.0,1.0,-38.716738261724586,-1.4567085810330642,86.06916478120634
2021-03-04,0.7385083299396626,67.32,1.719,3.262085933837399,38.73268858060519,-1.0,-1.0,38.73268858060519,1.08753811048165,87.15670289168798
2021-03-05,1.3968751417828855,69.95,1.769,3.2491822421038905,38.75247306852296,-1.0,-1.0,38.75247306852296,-1.264602261547942,85.89210063014005
2021-03-08,1.6895042901179806,68.0,1.71,3.227088657541956,38.77806766659767,-1.0,-1.0,38.77806766659767,-0.1671531545461733,85.72494747559388
2021-03-09,1.0116792353521333,67.03,1.702,3.2262290484889853,38.7886725996756,-1.0,-1.0,38.7886725996756,0.4483417415665562,86.17328921716043
2021-03-10,0.7219987776315122,67.53,1.722,3.22658419222634,38.79674867733362,-1.0,-1.0,38.79674867733362,0.8293390544612173,87.00262827162165
2021-03-11,1.0371589558122736,69.34,1.76,3.2239864710236086,38.8084324114703,-1.0,-1.0,38.8084324114703,0.006778194404384208,87.00940646602604
2021-03-12,0.5573548985832844,68.87,1.76,3.2257413027729496,38.81400289853222,-1.0,-1.0,38.81400289853222,-0.26333411892187386,86.74607234710416
2021-03-15,0.9067485639955066,68.78,1.748,3.216839325974649,38.82909121052889,-1.0,-1.0,38.82909121052889,-0.43220131668114503,86.31387103042302
2021-03-16,0.8169524215854125,67.95,1.728,3.1916542449880754,38.85014327454548,-1.0,-1.0,38.85014327454548,-0.9410366409399056,85.37283438948312
2021-03-17,2.177309154895653,67.73,1.686,3.1464667800911394,38.880599552256434,-1.0,-1.0,38.880599552256434,-2.3845348350495796,82.98829955443354
2021-03-18,0.6728714626058334,62.11,1.579,3.059824837208228,38.9088844442015,-1.0,-1.0,38.9088844442015,1.0291534177871555,84.0174529722207
2021-03-19,0.851367003770612,64.0,1.622,2.9953422726210768,38.93257274736707,-1.0,-1.0,38.93257274736707,0.2657497612336792,84.28320273345437
2021-03-22,0.2867361950244174,63.89,1.633,2.9688509092087356,38.94872247702118,-1.0,-1.0,38.94872247702118,-2.156633274527262,82.12656945892711
2021-03-23,-0.04642033006951607,59.96,1.54,2.9478018900582197,38.965208006538646,-1.0,-1.0,38.965208006538646,2.5943438111074677,84.72091327003457
2021-03-24,-0.42067269307990784,63.7,1.645,2.925762842512825,38.97913233621879,1.0,1.0,-38.97913233621879,1.666988042799729,86.3879013128343
2021-03-25,-0.12401358504526172,61.21,1.573,2.908739876482717,38.9917441735825,1.0,1.0,-38.9917441735825,-0.7266091075871102,85.6612922052472
2021-03-26,1.2074555270978067,63.77,1.604,2.905295039992953,39.004080095325556,1.0,1.0,-39.004080095325556,-0.14135295607297815,85.51993924917421
2021-03-29,1.2333975663136627,64.06,1.61,2.879998729624714,39.02273443086108,-1.0,-1.0,39.02273443086108,-0.5210538265572195,84.998885422617
2021-03-30,1.2821864765735498,63.28,1.588,2.8543357084922376,39.04144428427358,-1.0,-1.0,39.04144428427358,-0.42174263780712307,84.57714278480987
2021-03-31,2.1481854694059095,63.52,1.571,2.821842114207263,39.06544527727186,-1.0,-1.0,39.06544527727186,1.3127351485265497,85.88987793333642
2021-04-01,0.39252534040288367,63.85,1.624,2.815471537219158,39.0747996672396,-1.0,-1.0,39.0747996672396,0.0,85.88987793333642
2021-04-02,0.3768235390155752,63.85,1.624,2.805292874904121,39.08446826415297,-1.0,-1.0,39.08446826415297,-1.0108052137280938,84.87907271960833
2021-04-05,1.985354785417826,63.85,1.582,2.7753330252598674,39.1053383151594,-1.0,-1.0,39.1053383151594,0.3833398038021818,85.26241252341052
2021-04-06,-0.9538915083458548,61.47,1.596,2.7595252212184453,39.112713977660306,-1.0,-1.0,39.112713977660306,0.1897091458275452,85.45212166923807
2021-04-07,-0.8865542566072975,61.86,1.604,2.7425832361719085,39.118799411849935,1.0,1.0,-39.118799411849935,-0.14261160054218994,85.30951006869587
2021-04-08,-0.9018772275928271,62.09,1.61,2.689973978901757,39.125389582355794,1.0,1.0,-39.125389582355794,-4.742010552082293,80.56749951661358
2021-04-09,-8.6705129793733,61.89,1.805,2.7549949693736044,39.091696941481054,1.0,1.0,-39.091696941481054,3.9495731414721025,84.51707265808568
2021-04-12,-1.067714840769547,62.38,1.623,2.748920691927832,39.092861885871564,0.0,0.0,-0.0,0.0,84.51707265808568
2021-04-13,-0.9663440460324964,62.83,1.632,2.7544660598470863,39.09089708702972,1.0,1.0,-39.09089708702972,-1.4807719953800527,83.03630066270563
2021-04-14,-0.18808221326314367,66.11,1.696,2.758838772687087,39.09085036159384,1.0,1.0,-39.09085036159384,-0.3223813801938633,82.71391928251177
2021-04-15,-0.7111631001100562,66.13,1.71,2.7658424029100703,39.08839947374857,1.0,1.0,-39.08839947374857,0.24917758507908716,82.96309686759085
2021-04-16,-0.4303176049827755,65.98,1.699,2.771255473470897,39.087885582685566,1.0,1.0,-39.087885582685566,-0.03752539367514389,82.92557147391571
2021-04-19,0.04641951057429594,66.54,1.701,2.7723050197560175,39.090876243048626,1.0,1.0,-39.090876243048626,0.4186069157416468,83.34417838965736
2021-04-20,-0.4084683441865735,65.34,1.682,2.7788801750027408,39.08945799297656,-1.0,-1.0,39.08945799297656,-0.8629129641815165,82.48126542547584
2021-04-21,-0.2398777624114814,64.02,1.644,2.7848890997063007,39.087516887111605,1.0,1.0,-39.087516887111605,-0.38778852686051485,82.09347689861532
2021-04-22,0.15184446130817264,65.07,1.661,2.782686615467479,39.08377816898965,1.0,1.0,-39.08377816898965,-0.2013221440597887,81.89215475455553
2021-04-23,0.4861842755913983,65.75,1.67,2.773136124178087,39.08012917629258,-1.0,-1.0,39.08012917629258,0.07400610623641898,81.96616086079196
2021-04-26,0.12665976649000754,65.5,1.673,2.767133399080742,39.0755171748416,-1.0,-1.0,39.0755171748416,0.6892462801527995,82.65540714094476
2021-04-27,-0.28961263324738695,66.25,1.703,2.7709412611085407,39.07199802304603,-1.0,-1.0,39.07199802304603,0.4692755492488322,83.1246826901936
2021-04-28,-0.2691160891307476,67.08,1.724,2.7658464431052057,39.06561258070229,1.0,1.0,-39.06561258070229,-0.09570840423568813,83.0289742859579
