Date,Spread,EIAEBRT,DIESELA,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-09-23,-1.2245327133506265,64.66,2.0340000000000003,2.6907405352165363,32.39160900361387,1.0,1.0,-32.39160900361387,0.549181014738912,11.226139005311435
2019-09-24,-0.5871159619693032,64.13,1.999,2.670643997650615,32.37474535366148,1.0,1.0,-32.37474535366148,0.054156831243094936,11.28029583655453
2019-09-25,-2.1102476722129353,62.41,1.994,2.657114073537324,32.357195422373586,1.0,1.0,-32.357195422373586,-0.015023981894300651,11.265271854660229
2019-09-26,-2.422599626960917,62.08,1.9946000000000002,2.6437365588356205,32.33861407147344,1.0,1.0,-32.33861407147344,0.16208888960686602,11.427360744267094
2019-09-27,-1.6792973700359042,62.48,1.985,2.63103927088559,32.32206416626494,1.0,1.0,-32.32206416626494,0.3962577871406938,11.823618531407789
2019-09-30,-2.303720158501619,60.99,1.9591999999999998,2.6214887232890964,32.305900448398134,1.0,1.0,-32.305900448398134,-0.1570566618183878,11.666561869589401
2019-10-01,-3.478409970500607,60.06,1.9678,2.6176324446433075,32.289058832452795,1.0,1.0,-32.289058832452795,0.04477164161209135,11.711333511201492
2019-10-02,-5.416079884683953,57.92,1.9628999999999999,2.6175200006586836,32.266585095870376,1.0,1.0,-32.266585095870376,-0.22858123440634687,11.482752276795145
2019-10-03,-5.734712158063687,58.01,1.9768999999999999,2.6225145596931183,32.24478332645237,1.0,1.0,-32.24478332645237,-0.2302479361129141,11.252504340682231
2019-10-04,-5.066479242328121,59.13,1.9922,2.6230617852821165,32.22391288140153,1.0,1.0,-32.22391288140153,-0.21925212000583993,11.033252220676392
2019-10-07,-5.137786033924321,59.46,2.0061,2.6187424582066208,32.20068094009487,1.0,1.0,-32.20068094009487,0.0933701648135491,11.126622385489942
2019-10-08,-6.176929256901545,58.14,1.9989,2.622755439545767,32.17616151728528,1.0,1.0,-32.17616151728528,-1.0275173963953337,10.099104989094608
2019-10-09,-6.673564745772467,59.7,2.0644,2.6333994038108868,32.15150394583049,1.0,1.0,-32.15150394583049,-0.2268674844169244,9.872237504677683
2019-10-10,-7.681983441538534,59.08,2.0783,2.647753938563821,32.123362094759436,0.0,0.0,-0.0,0.0,9.872237504677683
2019-10-11,-6.674531622226397,60.59,2.0955,2.6589415440540978,32.0995140168105,0.0,0.0,-0.0,0.0,9.872237504677683
2019-10-14,-5.669095710536482,58.81,2.0099,2.6674746718394795,32.080748151916254,0.0,0.0,-0.0,0.0,9.872237504677683
2019-10-15,-6.832667828069518,59.19,2.0591999999999997,2.6845542906385456,32.06229012629639,1.0,1.0,-32.06229012629639,-0.3702709165563175,9.501966588121366
2019-10-16,-7.4419699629404334,59.3,2.0831,2.705046457405281,32.03973403242304,0.0,0.0,-0.0,0.0,9.501966588121366
2019-10-17,-7.925168583656024,59.35,2.1011,2.729995006383174,32.01902269461521,0.0,0.0,-0.0,0.0,9.501966588121366
2019-10-18,-5.393245915907663,59.96,2.042,2.7377403427480487,32.004527872628636,0.0,0.0,-0.0,-0.0,9.501966588121366
2019-10-21,-8.202014353545948,58.95,2.0993,2.761360818781689,31.987812296263495,1.0,1.0,-31.987812296263495,0.032388417318845605,9.534355005440212
2019-10-22,-6.609651171071377,60.5,2.0989,2.7735346581764078,31.973724889738136,0.0,0.0,-0.0,0.0,9.534355005440212
2019-10-23,-7.286503752802297,60.52,2.1219,2.7920817390415578,31.955560465998538,1.0,1.0,-31.955560465998538,-0.2755107367569569,9.258844268683255
2019-10-24,-6.695495759729248,61.71,2.1415,2.801796747441292,31.94279512478601,0.0,0.0,-0.0,0.0,9.258844268683255
2019-10-25,-6.0814399055318376,62.06,2.1337,2.7974507807286186,31.93581098820445,1.0,1.0,-31.93581098820445,0.22154838308817387,9.480392651771428
2019-10-28,-7.195492994804056,60.39,2.1171,2.807827895112538,31.923618626802728,1.0,1.0,-31.923618626802728,0.14060782443368236,9.621000476205111
2019-10-29,-6.238986819162065,61.05,2.1085,2.81265884754873,31.91320219073373,0.0,0.0,-0.0,0.0,9.621000476205111
