Date,GOLDBLN,GOLDHAR,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-05-01,1691.97,1686.25,6.75607480050985,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-04,1704.49,1709.1,-3.5436297468656903,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-05,1698.9,1699.55,0.4037084775297899,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-06,1686.94,1691.5,-3.5169645375085565,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-07,1698.76,1704.05,-4.23032524077189,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-08,1713.78,1704.05,10.789674759228092,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-11,1695.7,1702.75,-5.9920488332625155,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-12,1708.97,1702.4,7.6274871226053165,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-13,1715.12,1708.4,7.785442164869892,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-14,1730.11,1731.6,-0.3937983383734718,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-15,1744.07,1735.35,9.821173563041839,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-18,1736.54,1734.7,2.9403117667964125,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-19,1739.13,1737.95,2.284620748023144,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-20,1745.99,1748.3,-1.1916568040703623,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-21,1724.32,1724.9,0.5073185310975532,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-22,1736.32,1733.55,3.868787050362471,5.653383480943157,0,0.0,0.0,-0.0,-0.0,0.026893050309179687
2020-05-25,1731.03,1733.55,-1.4212129496374928,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-26,1709.48,1720.25,-9.688846626657323,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-27,1700.95,1694.6,7.397145567661482,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-28,1722.73,1717.35,6.4573084362482405,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-05-29,1731.55,1728.7,3.942356724531919,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-06-01,1738.02,1730.6,8.514875821249007,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-06-02,1739.61,1742.15,-1.4298107223917214,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-06-03,1696.19,1705.35,-8.098601648280919,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-06-04,1712.17,1700.05,13.17437139771846,5.653383480943157,-1,0.0,0.0,-0.0,0.0,0.026893050309179687
2020-06-05,1681.39,1683.45,-1.027637552546821,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,-0.0013070022298504996,0.02558604807932919
2020-06-08,1690.47,1690.35,1.1615107460575018,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.02558604807932919
2020-06-09,1718.72,1713.5,6.292203950795056,5.653383480943157,0,0.0,0.0,-0.0,-0.0,0.02558604807932919
2020-06-10,1717.54,1722.05,-3.4264601139780098,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.02558604807932919
2020-06-11,1741.94,1738.25,4.795018500136393,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.02558604807932919
2020-06-12,1733.8,1733.5,1.398720758343643,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.02558604807932919
2020-06-15,1721.16,1710.45,11.778160137643681,5.653383480943157,-1,0.0,0.0,-0.0,0.0,0.02558604807932919
2020-06-16,1727.34,1719.85,8.57062303719158,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,-0.009364916360248153,0.016221131719081038
2020-06-17,1748.03,1724.35,24.766589318890055,5.653383480943157,-1,0.0,0.0,-0.0,0.0,0.016221131719081038
2020-06-18,1724.09,1719.5,5.670158993059431,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,-0.0009741747724720962,0.015246956946608941
2020-06-19,1741.04,1734.75,7.3903780588152586,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.015246956946608941
2020-06-22,1756.93,1761.85,-3.783691666955974,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.015246956946608941
2020-06-23,1767.04,1768.9,-0.7143444922953677,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.015246956946608941
2020-06-24,1772.24,1766.05,7.3318768626290876,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.015246956946608941
2020-06-25,1760.27,1756.55,4.849281379043532,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.015246956946608941
2020-06-26,1760.56,1747.6,14.077415107665502,5.653383480943157,-1,0.0,0.0,-0.0,0.0,0.015246956946608941
2020-06-29,1772.68,1771.6,2.229235276724012,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,-0.008167007240034663,0.0070799497065742786
2020-06-30,1783.66,1768.1,16.704594835402986,5.653383480943157,-1,0.0,0.0,-0.0,-0.0,0.0070799497065742786
2020-07-01,1763.12,1771.05,-6.7814939354839225,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,-0.0038721719629305606,0.003207777743643718
2020-07-02,1776.31,1777.45,0.016991442931612255,5.653383480943157,0,0.0,0.0,-0.0,-0.0,0.003207777743643718
2020-07-03,1775.36,1777.45,-0.9330085570684332,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.003207777743643718
2020-07-06,1783.27,1787.9,-3.4591535251240657,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.003207777743643718
2020-07-07,1793.97,1789.55,5.59303411149881,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.003207777743643718
2020-07-08,1812.09,1811.1,2.1916059716322707,5.653383480943157,0,0.0,0.0,-0.0,-0.0,0.003207777743643718
2020-07-09,1801.65,1812.1,-9.247068187989953,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.003207777743643718
2020-07-10,1800.69,1803.1,-1.2190007513870569,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.003207777743643718
2020-07-13,1806.22,1807.5,-0.08316705372635624,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.003207777743643718
2020-07-14,1809.04,1801.9,8.329408240159864,5.653383480943157,0,0.0,0.0,-0.0,-0.0,0.003207777743643718
2020-07-15,1806.74,1804.6,3.3329880091791892,5.653383480943157,0,0.0,0.0,-0.0,-0.0,0.003207777743643718
2020-07-16,1805.56,1807.7,-0.9429018856510538,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.003207777743643718
2020-07-17,1810.06,1807.35,3.9066340702170237,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.003207777743643718
2020-07-20,1817.09,1815.65,2.647638545349537,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.003207777743643718
2020-07-21,1838.3,1842.55,-3.006696348497371,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.003207777743643718
2020-07-22,1856.7,1852.4,5.556363179220398,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.003207777743643718
2020-07-23,1887.7,1878.3,10.69070244499585,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.003207777743643718
2020-07-24,1902.48,1902.1,1.7022574459788302,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.003207777743643718
2020-07-27,1941.43,1936.65,6.148065231019018,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.003207777743643718
2020-07-28,1949.97,1940.9,10.443700052623171,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.003207777743643718
2020-07-29,1955.46,1950.9,5.946958456397397,5.653383480943157,0,0.0,0.0,-0.0,-0.0,0.003207777743643718
2020-07-30,1940.1,1957.65,-16.1540921210551,5.653383480943157,1,0.0,0.0,-0.0,0.0,0.003207777743643718
2020-07-31,1975.1,1964.9,11.605520221681445,5.653383480943157,-1,1.0,1.0,-0.9986741596225671,0.0025388591559135994,0.005746636899557317
2020-08-03,1973.74,1958.55,16.58710113528491,5.653383480943157,-1,-1.0,-1.0,0.9986741596225671,-0.000423450130746671,0.005323186768810646
2020-08-04,1994.05,1977.9,17.572756146588063,5.653383480943157,-1,-1.0,-1.0,0.9986741596225671,0.008640558817767603,0.01396374558657825
2020-08-05,2047.55,2048.15,0.9158964331027164,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,0.006846841549105141,0.02081058713568339
2020-08-06,2052.5,2067.15,-13.108912599726182,5.653383480943157,1,0.0,0.0,-0.0,0.0,0.02081058713568339
2020-08-07,2039.08,2031.1,9.473290854667539,5.653383480943157,0,1.0,1.0,-0.9986741596225671,-0.008005969001186016,0.012804618134497374
2020-08-10,2036.19,2044.5,-6.798942884274766,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.012804618134497374
2020-08-11,1950.13,1939.65,11.85204275215142,5.653383480943157,-1,0.0,0.0,-0.0,0.0,0.012804618134497374
2020-08-12,1944.14,1931.9,13.601767489226177,5.653383480943157,-1,-1.0,-1.0,0.9986741596225671,0.0045530509198374826,0.017357669054334855
2020-08-13,1947.7,1944.25,4.828141617887695,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,5.659143351876108e-05,0.017414260487853616
2020-08-14,1948.09,1944.75,4.718804538076256,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.017414260487853616
2020-08-17,1983.71,1972.85,12.27606065268219,5.653383480943157,-1,0.0,0.0,-0.0,0.0,0.017414260487853616
2020-08-18,1995.56,2008.75,-11.726341677768005,5.653383480943157,1,-1.0,-1.0,0.9986741596225671,0.002399709628968032,0.01981397011682165
2020-08-19,1963.24,1981.0,-16.333133748241835,5.653383480943157,1,1.0,1.0,-0.9986741596225671,0.016333443298335602,0.03614741341515725
2020-08-20,1942.01,1927.15,16.215469747433417,5.653383480943157,-1,1.0,1.0,-0.9986741596225671,0.00033874668665128706,0.03648616010180854
2020-08-21,1939.85,1924.35,16.85175739437659,5.653383480943157,-1,-1.0,-1.0,0.9986741596225671,0.014378264146857634,0.05086442424866617
2020-08-24,1931.69,1943.95,-10.8822561342256,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,-0.011244001580524306,0.039620422668141864
2020-08-25,1920.86,1911.15,11.044256301394398,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.039620422668141864
2020-08-26,1940.06,1932.95,8.473159621622472,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.039620422668141864
2020-08-27,1918.27,1923.85,-4.228905525812024,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.039620422668141864
2020-08-28,1966.36,1957.35,10.405510126831814,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.039620422668141864
2020-08-31,1967.93,1970.0,-0.6577179923933727,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.039620422668141864
2020-09-01,1976.52,1972.35,5.585397732493448,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.039620422668141864
2020-09-02,1940.23,1947.05,-5.438146029055588,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.039620422668141864
2020-09-03,1935.33,1940.45,-3.7468965755467707,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.039620422668141864
2020-09-04,1921.33,1926.3,-3.6156572168874845,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.039620422668141864
2020-09-07,1929.41,1926.3,4.46434278311267,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.039620422668141864
2020-09-08,1926.65,1910.95,17.033991133319205,5.653383480943157,-1,0.0,0.0,-0.0,0.0,0.039620422668141864
2020-09-09,1945.89,1947.2,0.0720528470010322,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,0.003526377975116967,0.043146800643258834
2020-09-10,1958.04,1966.25,-6.802689893808974,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.043146800643258834
2020-09-11,1947.8,1947.4,1.782318015076271,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.043146800643258834
2020-09-14,1959.39,1958.7,2.08730001134154,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.043146800643258834
2020-09-15,1953.24,1949.35,5.274903403812459,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.043146800643258834
2020-09-16,1966.77,1961.8,6.37141011651147,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.043146800643258834
2020-09-17,1948.3,1936.25,13.41753489486814,5.653383480943157,-1,0.0,0.0,-0.0,0.0,0.043146800643258834
2020-09-18,1954.65,1950.85,5.186892164378833,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,0.00820315299087478,0.05134995363413361
2020-09-21,1897.09,1909.35,-10.928130211284724,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.05134995363413361
2020-09-22,1903.6,1906.0,-1.072571776549239,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.05134995363413361
2020-09-23,1868.69,1873.4,-3.425794172853557,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.05134995363413361
2020-09-24,1863.8,1861.75,3.318759786749297,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.05134995363413361
2020-09-25,1862.09,1859.7,3.6560418139754347,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.05134995363413361
2020-09-28,1869.9,1864.3,6.872140679711947,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.05134995363413361
2020-09-29,1886.19,1883.95,3.5381934431284208,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.05134995363413361
2020-09-30,1899.84,1886.9,14.242104672241567,5.653383480943157,-1,0.0,0.0,-0.0,0.0,0.05134995363413361
2020-10-01,1908.54,1902.0,7.8621248619410835,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,0.0009704871215017266,0.052320440755635335
2020-10-02,1907.74,1903.05,6.013516994337351,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.052320440755635335
2020-10-05,1913.4,1909.6,5.132201248809679,5.653383480943157,0,0.0,0.0,-0.0,-0.0,0.052320440755635335
2020-10-06,1912.99,1913.4,0.9272394422437173,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.052320440755635335
2020-10-07,1883.72,1884.5,0.5189226553359276,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.052320440755635335
2020-10-08,1889.49,1887.45,3.342833884449419,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.052320440755635335
2020-10-09,1926.15,1923.25,4.250298969961477,5.653383480943157,0,0.0,0.0,-0.0,-0.0,0.052320440755635335
2020-10-12,1921.98,1925.5,-2.1667178891893855,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.052320440755635335
2020-10-13,1891.63,1891.3,1.637938369902713,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.052320440755635335
2020-10-14,1910.19,1910.05,1.4727978769794845,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.052320440755635335
2020-10-15,1900.24,1891.9,9.648733874128766,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.052320440755635335
2020-10-16,1903.31,1905.05,-0.4138313249077328,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.052320440755635335
2020-10-19,1906.81,1905.6,2.5368978872998014,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.052320440755635335
2020-10-20,1908.43,1898.4,11.34735183658222,5.653383480943157,-1,0.0,0.0,-0.0,0.0,0.052320440755635335
2020-10-21,1923.29,1924.15,0.49149222630103395,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,0.0003905365299756592,0.05271097728561099
2020-10-22,1899.38,1900.95,-0.24926727045522057,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.05271097728561099
2020-10-23,1899.92,1903.65,-2.405687501436205,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.05271097728561099
2020-10-26,1904.99,1898.45,7.857418128601012,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.05271097728561099
2020-10-27,1909.74,1905.7,5.367030471337557,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.05271097728561099
2020-10-28,1882.04,1869.95,13.369631677844154,5.653383480943157,-1,0.0,0.0,-0.0,-0.0,0.05271097728561099
2020-10-29,1872.14,1870.3,3.1200957219764405,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,0.001557594176307118,0.05426857146191811
2020-10-30,1880.77,1881.85,0.21540917833590356,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.05426857146191811
2020-11-02,1894.44,1889.9,5.846082193374059,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.05426857146191811
