Date,CRUDOIL,EIANYGR,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2019-10-10,53.55,1.734,53.267229909433276,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.02110026495859071,0.006889160838408365
2019-10-11,54.7,1.759,54.416579673633386,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.019848909937138278,0.026738070775546643
2019-10-14,53.59,1.729,53.30735995659327,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.014554954282515409,0.04129302505806205
2019-10-15,52.81,1.729,52.527359956593266,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.010249220645957567,0.031043804412104484
2019-10-16,53.36,1.74,53.0770738528413,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.010547627375732964,0.02049617703637152
2019-10-17,53.93,1.749,53.64683976795334,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.002811125335216635,0.023307302371588158
2019-10-18,53.78,1.751,53.49678774908935,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.008575913803065318,0.03188321617465348
2019-10-21,53.31,1.74,53.027073852841305,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.02226100879494465,0.009622207379708828
2019-10-22,54.48,1.719,54.197620050913216,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.023485690586079497,-0.01386348320637067
2019-10-23,55.79,1.756,55.50665770192937,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.004676647741412325,-0.018540130947782993
2019-10-24,56.06,1.767,55.77637159817742,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.006988016845309917,-0.025528147793092912
2019-10-25,56.46,1.777,56.176111503857456,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.015157363091637963,-0.010370784701454949
2019-10-28,55.61,1.784,55.32592943783348,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.004957296809146775,-0.005413487892308174
2019-10-29,55.34,1.791,55.05574737180952,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.008223462603077304,0.00280997471076913
2019-10-30,54.86,1.76,54.576553664201384,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.0154644858386156,0.01827446054938473
2019-10-31,53.98,1.721,53.697568032049226,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.03705855570779321,-0.01878409515840848
2019-11-01,56.0,1.745,55.716943805681325,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.005445413589290816,-0.0242295087476993
2019-11-04,56.34,1.787,56.055851409537496,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.01211607813036295,-0.03634558687806225
2019-11-05,57.03,1.796,56.74561732464953,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.014503635740979478,-0.021841951137082767
2019-11-06,56.15,1.732,55.867281928297274,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.014247551202137165,-0.03608950233921993
2019-11-07,56.95,1.732,56.66728192829728,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.0016103676121261722,-0.0376998699513461
2019-11-08,57.04,1.73,56.757333947161264,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.006286132740980443,-0.03141373721036566
2019-11-11,56.66,1.705,56.377984182961164,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.0009674193185948127,-0.030446317891770845
2019-11-12,56.6,1.699,56.318140239553145,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.0052709934728357825,-0.035717311364606624
2019-11-13,56.92,1.724,56.63749000375324,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.005756727411213094,-0.02996058395339353
2019-11-14,56.57,1.698,56.288166248985135,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.016532952693815873,-0.0464935366472094
2019-11-15,57.52,1.715,57.23772408864121,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.01108698595847921,-0.03540655068873019
2019-11-18,56.85,1.678,56.568686437625054,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.0320713702184466,-0.00333518047028359
2019-11-19,55.01,1.659,54.72918061683298,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.03182769010836233,-0.03516287057864592
2019-11-20,56.81,1.716,56.52769807920921,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.027150955208174492,-0.06231382578682042
2019-11-21,58.38,1.748,58.09686577738534,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.013651421527712091,-0.048662404259108324
2019-11-22,57.57,1.733,57.28725591886528,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.005950878726528053,-0.05461328298563638
2019-11-25,57.91,1.73,57.62733394716126,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.008498778193170306,-0.06311206117880669
