Date,CRUDOIL,EIAGCGR,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2021-06-15,72.12,2.09,71.86446109786912,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.0007832519118196253,-0.16864870594537015
2021-06-16,72.15,2.06,71.89522871000543,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.015210722667653703,-0.15343798327771646
2021-06-17,71.04,2.046,70.78558692900236,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.008033251249009252,-0.1614712345267257
2021-06-18,71.64,2.079,71.38474255565242,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.027851931227125263,-0.18932316575385097
2021-06-21,73.66,2.107,73.40402611765855,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.01149436771522545,-0.17782879803862553
2021-06-22,72.85,2.148,72.59297704773893,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.0026687784544669716,-0.1804975764930925
2021-06-23,73.08,2.189,72.82192797781931,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.005168145102260912,-0.1856657215953534
2021-06-24,73.45,2.18,73.19215826146022,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.010187553532886114,-0.19585327512823952
2021-06-25,74.2,2.182,73.9421070873178,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.014812739171152929,-0.1810405359570866
2021-06-28,73.06,2.135,72.80330967966466,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.0004907181259912407,-0.18153125408307785
2021-06-29,73.13,2.174,72.87231178388747,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.0067239357180286456,-0.1882551898011065
2021-06-30,73.62,2.172,73.36236295802989,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.023635597484837095,-0.2118907872859436
2021-07-01,75.38,2.195,75.12177445539206,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.0009181132494835249,-0.21097267403646008
2021-07-02,75.36,2.251,75.1003415794043,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.0,-0.21097267403646008
2021-07-05,75.36,2.251,75.1003415794043,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.02564499410389324,-0.18532767993256685
2021-07-06,73.37,2.184,73.11205591317538,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.015559954334243235,-0.16976772559832362
2021-07-07,72.2,2.151,71.9429002865253,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.009559372504708254,-0.17932709810303188
2021-07-08,72.94,2.209,72.68141623639512,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.02162309393434329,-0.20095019203737516
2021-07-09,74.54,2.236,74.28072538547245,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.0057769953678449785,-0.19517319666953017
2021-07-12,74.1,2.225,73.84100684325576,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.01515157431801352,-0.2103247709875437
