Date,LCPCASH,JETCNWE,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-11-05,6206.5,718.0,6229.830107503585,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.004580048171977635,0.1491611682647053
2018-11-06,6184.0,723.25,6206.644549213535,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.004584756855705711,0.15374592512041102
2018-11-07,6171.0,737.0,6191.849039406262,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.004894078473915617,0.1488518466464954
2018-11-08,6172.5,710.75,6196.776830856511,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.01812250606323844,0.16697435270973382
2018-11-09,6078.5,726.5,6100.7201559863615,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.004565880417384208,0.16240847229234961
2018-11-12,6073.75,696.75,6099.854986296644,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.007816711111959097,0.15459176118039053
2018-11-13,6088.5,668.0,6118.3592340754885,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.0006282311654289222,0.1539635300149616
2018-11-14,6107.5,680.75,6135.694306799653,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.014865802301178335,0.13909772771378326
2018-11-15,6198.0,680.5,6226.226952432513,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.0031067972006496645,0.1359909305131336
2018-11-16,6223.5,685.75,6251.041394142462,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.012134335090482739,0.12385659542265086
2018-11-19,6292.5,680.25,6320.759598065372,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.00889946899932505,0.1327560644219759
2018-11-20,6206.0,655.0,6237.556806984183,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.011796208131102744,0.12095985629087316
2018-11-21,6269.0,646.75,6301.634112868547,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.003104970058527043,0.11785488623234612
2018-11-22,6286.25,645.0,6319.112632298564,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.0032070534923808406,0.12106193972472697
2018-11-23,6236.5,621.75,6272.398676154498,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.0021703321317104915,0.12323227185643745
2018-11-26,6221.0,620.25,6257.094549951656,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.010937471512090739,0.1341697433685282
2018-11-27,6155.25,622.0,6191.116030521639,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.01840744122205792,0.11576230214647026
2018-11-28,6244.0,603.0,6282.347098618962,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.0008853702843482246,0.11487693186212204
2018-11-29,6247.5,601.5,6286.0429724161195,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.0076232088321774305,0.12250014069429947
2018-11-30,6227.0,621.5,6262.931321787358,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.01336283819142429,0.10913730250287518
