Date,CRUDOIL,ETHANYH,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2019-09-24,57.17,1.51,56.325463254540445,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.014693020815112923,-0.00940152023604477
2019-09-25,56.33,1.51,55.48546325454044,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.0014202023788389972,-0.010821722614883768
2019-09-26,56.41,1.51,55.56546325454044,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.008974572427571936,-0.0018471501873118315
2019-09-27,55.91,1.52,55.06529580192095,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.03291003398318715,0.031062883795875317
2019-09-30,54.07,1.52,53.22529580192096,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.00832254484926953,0.03938542864514485
2019-10-01,53.62,1.52,52.775295801920954,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.018276762402088753,0.0576621910472336
2019-10-02,52.64,1.52,51.79529580192096,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.0036094224924011487,0.06127161353963475
2019-10-03,52.45,1.52,51.60529580192096,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.0057620177246235135,0.055509595815011234
2019-10-04,52.81,1.62,51.96362127572606,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.0011361484567317115,0.056645744271742945
2019-10-07,52.75,1.62,51.90362127572606,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.0022748815165876124,0.05892062578833056
2019-10-08,52.63,1.62,51.78362127572606,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.0007600228006839904,0.05968064858901455
2019-10-09,52.59,1.62,51.74362127572606,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.01825442099258412,0.04142622759643043
2019-10-10,53.55,1.62,52.70362127572606,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.01951130629388341,0.02191492130254702
2019-10-11,54.7,1.81,53.85043967595577,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.020292504570383896,0.042207425872930915
2019-10-14,53.59,1.81,52.74043967595577,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.014554954282515409,0.056762380155446324
2019-10-15,52.81,1.81,51.96043967595577,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.01041469418670693,0.046347685968739394
2019-10-16,53.36,1.81,52.510439675955766,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.010682158920539697,0.0356655270481997
2019-10-17,53.93,1.81,53.080439675955766,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.00278138327461519,0.03844691032281489
2019-10-18,53.78,1.81,52.93043967595577,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.0087393082930457,0.04718621861586059
2019-10-21,53.31,1.81,52.46043967595577,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.02194710185706228,0.025239116758798308
2019-10-22,54.48,1.81,53.63043967595576,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.024045521292217265,0.0011935954665810433
2019-10-23,55.79,1.81,54.940439675955766,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.004839576985122829,-0.0036459815185417854
2019-10-24,56.06,1.81,55.21043967595577,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.008893002200905121,-0.012538983719446907
2019-10-25,56.46,1.62,55.61362127572606,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.015054906128232348,0.0025159224087854416
2019-10-28,55.61,1.62,54.76362127572606,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.004855241862974258,0.007371164271759699
2019-10-29,55.34,1.62,54.49362127572606,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.008673653776653523,0.01604481804841322
2019-10-30,54.86,1.62,54.01362127572606,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.016040831206708073,0.03208564925512129
2019-10-31,53.98,1.62,53.13362127572606,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.03742126713597638,-0.005335617880855084
2019-11-01,56.0,1.62,55.15362127572606,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.0060714285714287275,-0.011407046452283812
2019-11-04,56.34,1.62,55.49362127572606,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.012247071352502692,-0.023654117804786504
2019-11-05,57.03,1.62,56.18362127572606,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.015430475188497272,-0.008223642616289231
2019-11-06,56.15,1.62,55.30362127572606,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.014247551202137165,-0.022471193818426397
2019-11-07,56.95,1.62,56.10362127572606,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.0017870652549867097,-0.024258259073413106
