Date,EIAEBRT,EIANYHO,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-05-29,34.15,0.932,33.91347959580023,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-01,36.74,0.971,36.50251007078175,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-02,37.72,1.028,37.4810930726778,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-03,37.98,0.958,37.74283324578791,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-04,38.41,0.976,38.17238577270245,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-05,41.0,1.042,40.76074503805578,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-08,39.66,1.018,39.42134166883639,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-09,40.45,1.05,40.21054616112892,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-10,41.18,1.061,40.94027270535447,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-11,37.76,0.989,37.52206259769629,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-12,38.54,1.044,38.30069531882406,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-15,39.44,1.071,39.20002410919588,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-16,40.75,1.124,40.50870654955537,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2020-06-17,40.47,1.129,40.22858225147608,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-18,41.75,1.149,41.50808505915891,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-19,42.33,1.153,42.08798562069547,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-22,43.2,1.17,42.95756300722588,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-23,42.72,1.155,42.47793590146375,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-24,40.4,1.099,40.15932803995184,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-25,41.18,1.109,40.939079443793254,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-26,40.97,1.073,40.72997438996416,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-29,41.58,1.117,41.33888056686638,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-06-30,41.64,1.125,41.398681689939515,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-01,42.18,1.147,41.93813477839062,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-02,43.19,1.175,42.947438709146574,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2020-07-03,42.92,1.175,42.67743870914658,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2020-07-06,42.73,1.189,42.48709067452456,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-07,43.28,1.181,43.03728955145143,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-08,43.67,1.197,43.42689179759769,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-09,42.35,1.184,42.107214972603856,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-10,43.27,1.201,43.026792359134255,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-13,42.85,1.163,42.60773702453689,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-14,42.97,1.163,42.727737024536886,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-15,43.96,1.191,43.717040955292845,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-16,43.71,1.175,43.46743870914658,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-17,43.53,1.168,43.28761272645759,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2020-07-20,43.3,1.184,43.05721497260385,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-21,44.31,1.226,44.06617086873779,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-22,43.98,1.222,43.73627030720122,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-23,42.96,1.205,42.71669292067082,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-24,43.29,1.207,43.0466432014391,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-27,43.39,1.209,43.146593482207386,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-28,43.11,1.194,42.86696637644526,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-29,43.51,1.209,43.266593482207384,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-30,42.98,1.167,42.73763758607345,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-07-31,43.13,1.165,42.88768730530517,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-03,43.76,1.188,43.517115534140416,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-04,43.99,1.204,43.74671778028668,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-05,44.92,1.207,44.676643201439106,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-06,45.04,1.197,44.79689179759769,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-07,44.07,1.167,43.82763758607345,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-10,44.19,1.18,43.94731441106728,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2020-08-11,43.68,1.18,43.437314411067284,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-12,45.09,1.189,44.847090674524566,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-13,44.87,1.18,44.62731441106728,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-14,44.86,1.179,44.617339270683146,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-17,44.91,1.178,44.667364130299,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-18,45.34,1.19,45.0970658149087,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-19,45.21,1.184,44.967214972603855,27.792356237987498,0,0.0,0.0,-0.0,-0.0,0.23674110061043083
2020-08-20,44.56,1.184,44.31721497260386,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-21,43.94,1.143,43.698234216854054,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-24,44.43,1.186,44.187165253372136,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-25,46.01,1.201,45.76679235913425,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-26,45.79,1.183,45.54723983221971,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-27,44.84,1.153,44.597985620695475,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-28,45.22,1.164,44.97771216492102,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-08-31,45.22,1.141,44.978283936085774,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-09-01,45.72,1.166,45.477662445689305,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
