Date,EIAEBRT,OILBREN,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2019-06-10,64.31,63.16,0.4987818881327897,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-11,63.56,62.72,0.1847766658489789,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-12,61.66,61.01,-0.02078908439036553,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-13,63.28,61.78,0.8362200546062937,0.9396775737378742,0,0.0,0.0,-0.0,-0.0,0.1595669086195175
2019-06-14,63.13,62.24,0.23040733244845768,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-17,62.56,61.79,0.10631108238547426,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-18,63.35,62.55,0.14322919360296282,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-19,62.85,62.1,0.08913294353997259,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-20,65.44,64.26,0.5387949438422979,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-21,65.99,65.34,0.018625943993455962,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-24,65.16,64.35,0.16961419385490473,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-25,66.24,65.53,0.08035547179783009,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-26,66.85,66.5,-0.27081483362195513,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-27,66.78,66.43,-0.2714520280761974,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-28,67.52,66.87,0.03255319420760827,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-07-01,65.1,65.01,-0.5443779727194027,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-07-02,62.72,63.07,-1.0020373618798146,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-07-03,63.53,63.19,-0.3109450285296802,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-07-04,63.62,63.55,-0.5776680284792945,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-07-05,64.23,64.08,-0.49284355618288345,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-07-08,64.89,64.74,-0.4868357227571778,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-07-09,64.3,64.15,-0.4922063617286554,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-07-10,66.41,66.16,-0.3739097781139833,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-07-11,67.64,67.0,0.023736555336924425,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-07-12,66.65,66.8,-0.7680840002466169,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-07-15,66.86,66.76,-0.518448111363341,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-07-16,65.87,66.67,-1.4192673613759297,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-07-17,63.67,64.13,-1.1023884172869955,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-07-18,60.7,61.82,-1.783415834276994,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-07-19,61.04,62.29,-1.9091375286556556,0.9396775737378742,1,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-07-22,61.96,63.21,-1.9007629729713287,0.9396775737378742,1,1.0,1.0,-0.9908972220822548,0.005007859606081677,0.1645747682255992
2019-07-23,62.28,63.22,-1.590671945192149,0.9396775737378742,0,1.0,1.0,-0.9908972220822548,0.009213810914632668,0.17378857914023185
2019-07-24,63.83,64.22,-1.0315691672744052,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.17378857914023185
2019-07-25,63.47,63.77,-0.9456654173373948,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.17378857914023185
2019-07-26,62.46,63.26,-1.4503078340754385,0.9396775737378742,0,0.0,0.0,-0.0,-0.0,0.17378857914023185
2019-07-29,62.29,63.55,-1.9076680284792928,0.9396775737378742,1,0.0,0.0,-0.0,0.0,0.17378857914023185
2019-07-30,62.55,64.05,-2.1431166395204215,0.9396775737378742,1,1.0,1.0,-0.9908972220822548,0.014089909020362893,0.18787848816059474
2019-07-31,64.07,64.71,-1.2771088060947164,0.9396775737378742,0,1.0,1.0,-0.9908972220822548,-0.0006514512704636037,0.18722703689013115
2019-08-01,62.9,63.56,-1.307577000700121,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.18722703689013115
2019-08-02,61.12,62.07,-1.6111401397975627,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.18722703689013115
2019-08-05,59.32,60.46,-1.8157956122451253,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.18722703689013115
2019-08-06,58.63,59.84,-1.8914393345541285,0.9396775737378742,1,0.0,0.0,-0.0,0.0,0.18722703689013115
2019-08-07,55.03,56.24,-1.9242093350580092,0.9396775737378742,1,1.0,1.0,-0.9908972220822548,-8.205911524891002e-06,0.18721883097860625
2019-08-08,56.29,57.54,-1.9523757237649448,0.9396775737378742,1,1.0,1.0,-0.9908972220822548,0.0005876598125160032,0.18780649079112227
2019-08-09,57.37,58.62,-1.9425447236137785,0.9396775737378742,1,1.0,1.0,-0.9908972220822548,-0.00012647356832319427,0.1876800172227991
2019-08-12,57.13,58.38,-1.9447293903140377,0.9396775737378742,1,1.0,1.0,-0.9908972220822548,0.004864705822380848,0.19254472304517994
2019-08-13,59.9,60.95,-1.7213352510654332,0.9396775737378742,0,1.0,1.0,-0.9908972220822548,0.002360134177719922,0.19490485722289985
2019-08-14,57.86,58.71,-1.5417254736011827,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-08-15,57.37,58.32,-1.6452755569891053,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-08-16,59.0,58.65,-0.3422716402762447,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-08-19,59.79,59.39,-0.28553558461711503,0.9396775737378742,0,0.0,0.0,-0.0,-0.0,0.19490485722289985
2019-08-20,59.03,59.48,-1.1347163346045122,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-08-21,60.6,60.8,-0.8727006677530866,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-08-22,59.81,59.86,-0.7312572789957699,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-08-23,58.64,59.03,-1.078812584667503,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-08-26,58.64,59.03,-1.078812584667503,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-08-27,58.44,58.79,-1.040997251367763,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-08-28,60.42,60.72,-0.9734288899865078,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-08-29,60.59,60.68,-0.7637930011032168,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-08-30,61.04,60.48,-0.11561355668676754,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-02,58.55,58.3,-0.4454576125474574,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-03,57.93,57.73,-0.5006461959605701,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-04,60.68,60.48,-0.47561355668676697,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-05,62.7,62.13,-0.09059397312249473,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-06,61.28,60.76,-0.15306477886979764,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-09,63.99,62.84,0.49586899919910365,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-10,64.67,63.67,0.35342430487083476,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-11,63.02,62.22,0.14022527689010644,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-12,60.76,60.11,-0.028981584516337477,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-13,61.25,60.34,0.23311205440474225,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-16,68.42,67.82,-0.008799166770515399,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-17,65.59,65.54,-0.579553500422989,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-18,64.29,64.19,-0.5418422506119285,0.9396775737378742,0,0.0,0.0,-0.0,-0.0,0.19490485722289985
2019-09-19,64.25,64.44,-0.8295665561324981,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-20,65.23,64.95,-0.35492413939445555,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-23,64.66,64.39,-0.37002169502839166,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-24,64.13,63.88,-0.39466411176644556,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-25,62.41,62.16,-0.4103208897849626,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-26,62.08,61.83,-0.413324806497819,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-27,62.48,62.38,-0.558318278643064,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-09-30,60.99,60.89,-0.5718814177404923,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-01,60.06,59.35,0.024100304266177375,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-02,57.92,57.52,-0.3025577793233012,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-03,58.01,57.36,-0.05401422379014065,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-04,59.13,58.51,-0.07354602918472608,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-07,59.46,59.34,-0.5659907235130035,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-08,58.14,58.02,-0.578006390364429,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-09,59.7,59.3,-0.2863548346297051,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-10,59.08,58.68,-0.2919985569387151,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-11,60.59,60.49,-0.5755225289075909,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-14,58.81,58.91,-0.7899049180176263,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-15,59.19,59.33,-0.826081751292179,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-16,59.3,59.32,-0.706172779071359,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-17,59.35,58.99,-0.3291766957842128,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-18,59.96,59.6,-0.3236240012543874,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-21,58.95,58.66,-0.4021806124970624,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-22,60.5,60.2,-0.3781623345037417,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-23,60.52,60.31,-0.4671610289327859,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-24,61.71,61.55,-0.5058735843147844,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-25,62.06,61.82,-0.4234158342769945,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-28,60.39,61.27,-1.5484223621317525,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-29,61.05,61.87,-1.4829606953811094,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-30,60.22,60.91,-1.3616993621821365,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-10-31,59.3,60.21,-1.588071306724565,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-11-01,60.17,60.51,-1.0153404733492337,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-11-04,62.52,62.74,-0.8750412785926684,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-11-05,62.72,62.88,-0.8137668896841888,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-11-06,62.11,62.22,-0.7697747231098973,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-11-07,62.6,62.61,-0.6662246397219747,0.9396775737378742,0,0.0,0.0,-0.0,-0.0,0.19490485722289985
2019-11-08,62.0,62.61,-1.266224639721976,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-11-11,62.58,62.48,-0.5574080008512823,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-11-12,62.19,62.46,-0.9275900564096418,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-11-13,62.27,62.37,-0.7584093064222301,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-11-14,62.46,62.56,-0.7566797786178654,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-11-15,63.32,63.37,-0.6993065285044864,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-11-18,62.82,62.17,-0.010229862005786572,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-11-19,62.37,60.94,0.7585737211553933,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-11-20,63.8,62.62,0.5238663880572005,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-11-21,64.99,63.44,0.9013306659497502,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-11-22,64.83,63.28,0.8998742214829107,0.9396775737378742,0,0.0,0.0,-0.0,-0.0,0.19490485722289985
2019-11-25,64.67,63.54,0.48224094374153026,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-11-26,64.82,63.92,0.2556999993502629,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
2019-11-27,65.03,63.71,0.6737884159875449,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.19490485722289985
