Date,LNICASH,RHODNWE,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-12-04,11080.5,2590.0,10943.17272062088,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.006813771941699409,0.12490489789954928
2018-12-05,11156.0,2590.0,11018.67272062088,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.03365901756902112,0.1585639154685704
2018-12-06,10780.5,2590.0,10643.17272062088,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.006029404944112082,0.15253451052445832
2018-12-07,10845.5,2590.0,10708.17272062088,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.010695680236042615,0.16323019076050094
2018-12-10,10729.5,2590.0,10592.17272062088,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.0023108401389994844,0.16554103089950042
2018-12-11,10696.5,2570.0,10561.153533099288,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.0032367720681626636,0.16230425883133776
2018-12-12,10727.0,2560.0,10592.643939338494,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.004987414934277901,0.15731684389705985
2018-12-13,10780.5,2560.0,10646.143939338494,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.02220925101146016,0.1351075928855997
2018-12-14,11009.5,2535.0,10877.619954936505,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.009264725918524896,0.1443723188041246
2018-12-17,10907.5,2535.0,10775.619954936505,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.013038327294571255,0.15741064609869584
2018-12-18,10752.5,2505.0,10623.591173654118,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.01093937385562839,0.14647127224306744
2018-12-19,10868.0,2500.0,10739.586376773721,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.0029163145010057926,0.14938758674407324
2018-12-20,10832.0,2490.0,10704.576783012924,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.0029257324577829785,0.1523133192018562
2018-12-21,10796.0,2480.0,10669.56718925213,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.0008624918487750914,0.1514508273530811
2018-12-24,10801.0,2470.0,10675.557595491333,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.0,0.1514508273530811
2018-12-25,10801.0,2470.0,10675.557595491333,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.0,0.1514508273530811
2018-12-26,10801.0,2470.0,10675.557595491333,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.015459522232977642,0.16691034958605874
2018-12-27,10673.0,2560.0,10538.643939338494,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.0018195982159026373,0.1650907513701561
2018-12-28,10647.0,2450.0,10523.538407969743,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.003991734760965482,0.1690824861311216
2018-12-31,10604.5,2450.0,10481.038407969743,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.0,0.1690824861311216
2019-01-01,10604.5,2450.0,10481.038407969743,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.017586873497100308,0.15149561263402128
2019-01-02,10791.0,2450.0,10667.538407969743,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.00046334908720235823,0.15103226354681892
2019-01-03,10796.0,2450.0,10672.538407969743,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.02283253056687662,0.1281997329799423
2019-01-04,11042.5,2450.0,10919.038407969743,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.0034865293185419866,0.12471320366140032
2019-01-07,11081.0,2450.0,10957.538407969743,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.002842703727100382,0.12187049993429994
2019-01-08,11112.5,2450.0,10989.038407969743,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.006434195725534275,0.11543630420876566
2019-01-09,11184.0,2450.0,11060.538407969743,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.0008941344778254923,0.11454216973094017
2019-01-10,11194.0,2450.0,11070.538407969743,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.019653385742361973,0.0948887839885782
2019-01-11,11414.0,2450.0,11290.538407969743,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.005212896442964743,0.10010168043154294
2019-01-14,11354.5,2450.0,11231.038407969743,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.026993702937161412,0.07310797749438153
2019-01-15,11661.0,2450.0,11537.538407969743,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.00836120401337792,0.08146918150775945
2019-01-16,11563.5,2450.0,11440.038407969743,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.0015566221299779803,0.08302580363773743
