Date,CRUDOIL,NAFCNWE,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2019-04-16,64.05,558.5,-5248.540275607795,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.1072069801834681,1.2961274677030807
2019-04-17,63.76,564.5,-5306.1766464836655,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.030098518683376853,1.2660289490197039
2019-04-18,64.0,566.5,-5325.052103442289,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.0,1.2660289490197039
2019-04-19,64.0,566.5,-5325.052103442289,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.024218749999999956,1.2902476990197038
2019-04-22,65.55,566.5,-5323.502103442289,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.4674140772818015,0.8228336217379023
2019-04-23,66.43,595.0,-5595.0173651026735,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.12037841622749207,0.9432120379653943
2019-04-24,65.89,587.0,-5519.095537268179,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.14133772166389594,0.8018743163014984
2019-04-25,65.16,595.0,-5596.287365102674,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.3237756041924719,1.1256499204939703
2019-04-26,63.23,573.0,-5387.947338557816,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.0207501066805431,1.1048998138134272
2019-04-29,63.5,574.5,-5402.013931276783,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.04345311637805963,1.0614466974353676
2019-04-30,63.91,577.5,-5430.277116714718,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.10272559358657933,1.164172291021947
2019-05-01,63.6,571.0,-5368.461881599192,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.27314976382370326,1.4373220548456502
2019-05-02,61.81,553.0,-5198.21276897158,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.29171483497395834,1.145607219871692
2019-05-03,61.94,570.0,-5360.564153119881,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.005004843396835712,1.1506120632685277
2019-05-06,62.25,570.0,-5360.25415311988,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.15402482853157426,1.304636891800102
2019-05-07,61.4,560.0,-5265.526868326763,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.05439481507603379,1.3590317068761357
2019-05-08,62.12,557.5,-5240.912547128483,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.027526707638613722,1.3865584145147494
2019-05-09,61.7,555.5,-5222.21709016986,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.0780736414339264,1.308484773080823
2019-05-10,61.66,560.0,-5265.266868326763,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.12648383717954703,1.4349686102603698
2019-05-13,61.04,552.0,-5189.425040492269,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.013848890355985445,1.4211197199043843
2019-05-14,61.78,553.5,-5203.021633211237,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.0038847523470380008,1.4250044722514223
2019-05-15,62.02,553.5,-5202.781633211236,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.2971151819826882,1.127889290268734
2019-05-16,62.87,571.5,-5373.9707458388475,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.11045521537417256,1.0174340748945616
