Date,LCPCASH,LTICASH,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2021-02-24,9340.0,28940.0,-63164.55844397813,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.039829853921481514,-0.6760405580559828
2021-02-25,9456.25,28605.0,-62255.83322095512,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.13733281056434896,-0.5387077474916339
2021-02-26,9139.25,26539.0,-57685.50841269978,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.2440843703403821,-0.29462337715125175
2021-03-01,9089.0,23739.0,-51112.08490683583,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.09826391910083111,-0.39288729625208285
2021-03-02,9220.25,24870.0,-53656.32588366874,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.046598669038266045,-0.4394859652903489
2021-03-03,9128.25,25255.0,-54659.08099072503,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.022607160110844196,-0.4168788051795047
2021-03-04,8932.75,24785.0,-53742.750080812155,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.15671359672689228,-0.5735924019063969
2021-03-05,8913.2,26404.0,-57592.20272580992,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.014918091592830203,-0.5885104934992271
2021-03-08,9019.0,26703.0,-58193.71643232896,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.06360537975734395,-0.652115873256571
2021-03-09,8794.5,27140.0,-59451.98261877987,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.10032487790334217,-0.7524407511599133
2021-03-10,8875.75,28397.0,-62344.28890337665,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.13992121249902978,-0.892361963658943
2021-03-11,9069.0,30338.0,-66742.66400154878,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.1666154264413882,-0.7257465372175549
2021-03-12,9103.5,28250.0,-61768.7960443188,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.1773312424302277,-0.5484152947873272
2021-03-15,9164.25,26212.0,-56886.9579711221,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.03921464542423436,-0.5876299402115616
2021-03-16,8964.5,26405.0,-57543.268323490585,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.12745859667003098,-0.7150885368815926
2021-03-17,9070.75,27960.0,-61115.52271692575,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.040969413499479024,-0.7560579503810716
2021-03-18,9067.5,28440.0,-62254.25960364528,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.032991050548298775,-0.7230668998327728
2021-03-19,9072.5,28050.0,-61326.67650818565,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.02464099788382193,-0.6984259019489509
2021-03-22,9116.25,27815.0,-60727.011053229224,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.0014479242572737194,-0.6998738262062246
2021-03-23,8979.0,27655.0,-60485.76542432271,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.06479741206406998,-0.6350764141421547
2021-03-24,8973.25,26890.0,-58681.83319861344,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.07168380043045108,-0.7067602145726057
2021-03-25,8785.5,27467.0,-60234.53306035756,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.013188117525245041,-0.7199483320978508
2021-03-26,8967.0,27860.0,-60982.71294885917,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.026096958438070035,-0.6938513736597808
2021-03-29,8866.0,27420.0,-60042.84996936627,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.04182666830067624,-0.6520247053591045
2021-03-30,8770.25,26810.0,-58695.58538416019,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.06224016848203569,-0.7142648738411402
2021-03-31,8787.75,27538.0,-60400.24049568482,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.07464472177072948,-0.6396201520704108
2021-04-01,8794.5,26678.0,-58359.07649031232,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.0,-0.6396201520704108
2021-04-02,8794.5,26678.0,-58359.07649031232,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.0,-0.6396201520704108
2021-04-05,8794.5,26678.0,-58359.07649031232,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.06779478194932811,-0.7074149340197389
2021-04-06,9053.75,27775.0,-60694.88714600259,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.013605785131795747,-0.7210207191515347
2021-04-07,8919.0,27760.0,-60794.1531807926,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.03157978228700391,-0.6894409368645308
