Date,EIAEBRT,GOEUARA,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-03-04,51.86,447.25,-3552.3853079929468,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.20630954111049468,1.8379454782931637
2020-03-05,51.29,435.0,-3455.7675828543015,1740.1697864908615,0,1.0,1.0,-7.933691848052687,0.5000476595200987,2.337993137813262
2020-03-06,45.6,401.5,-3195.6789059445364,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-03-09,35.33,329.75,-2636.706515846756,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-03-10,35.57,368.75,-2945.8804979208107,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-03-11,34.45,361.5,-2889.481232022429,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-03-12,31.02,327.5,-2623.1657091886373,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-03-13,32.25,335.5,-2685.4052439730585,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-03-16,27.98,291.75,-2342.5762256207536,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-03-17,27.97,289.0,-2320.7685730386092,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-03-18,22.79,277.0,-2230.7442708619765,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-03-19,23.3,288.5,-2321.471727114582,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-03-20,25.4,291.25,-2341.189379696727,1740.1697864908615,0,0.0,0.0,-0.0,-0.0,2.337993137813262
2020-03-23,25.06,293.0,-2355.4133404308195,1740.1697864908615,0,0.0,0.0,-0.0,-0.0,2.337993137813262
2020-03-24,23.75,303.25,-2438.0436818733597,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-03-25,25.62,301.25,-2420.3062981772546,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-03-26,23.55,296.0,-2380.724415974977,1740.1697864908615,0,0.0,0.0,-0.0,-0.0,2.337993137813262
2020-03-27,22.39,300.5,-2417.586029291215,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-03-30,19.07,285.25,-2299.9172286084113,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-03-31,14.85,276.25,-2232.7340019759367,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-01,14.97,261.5,-2115.59204721716,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-02,20.24,266.0,-2146.0236605333976,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-03,24.33,297.5,-2391.844953747057,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-06,22.58,289.0,-2326.1585730386087,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-07,22.1,286.5,-2306.8043434184774,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-08,25.22,285.5,-2295.7506515704245,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-09,20.23,264.5,-2134.133122761318,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-10,20.23,264.5,-2134.133122761318,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-13,20.23,264.5,-2134.133122761318,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-14,21.74,246.0,-1985.8498235723432,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-15,19.8,240.25,-1942.1710954460405,1740.1697864908615,0,0.0,0.0,-0.0,-0.0,2.337993137813262
2020-04-16,18.69,246.75,-1994.8500924583827,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-17,19.75,255.5,-2063.209896128844,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-20,17.36,235.75,-1908.9094821298033,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-21,9.12,192.75,-1576.0007326635377,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-22,13.77,192.75,-1571.3507326635377,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-23,15.06,195.5,-1591.8783852456827,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-24,15.87,191.0,-1555.3667719294456,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-27,15.17,178.5,-1456.895623828787,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-28,15.6,181.0,-1476.2998534489186,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-29,17.86,198.5,-1612.8794607898408,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-04-30,18.11,226.0,-1830.8059866112897,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-01,18.49,206.0,-1671.7521496502359,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-04,20.4,211.75,-1715.4608777765386,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-05,25.46,229.75,-1853.2073310414871,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-06,24.2,217.25,-1755.2961829408284,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-07,24.23,220.0,-1777.0838355229735,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-08,24.23,220.0,-1777.0838355229735,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-11,25.53,228.0,-1839.253370307395,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-12,26.67,211.75,-1709.1908777765386,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-13,27.89,216.0,-1741.6890681307625,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-14,29.87,235.75,-1896.3994821298033,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-15,30.95,249.75,-2006.3911680025408,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-18,33.3,285.25,-2285.687228608411,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-19,33.06,270.75,-2170.8886968116476,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-20,34.76,283.5,-2270.3432678743193,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
2020-05-21,34.78,278.0,-2226.687962710029,1740.1697864908615,0,0.0,0.0,-0.0,-0.0,2.337993137813262
2020-05-22,33.8,278.0,-2227.6679627100293,1740.1697864908615,0,0.0,0.0,-0.0,0.0,2.337993137813262
