Date,WHEATSF,NAFCNWE,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-08-11,5.17,377.5,-44546.380405798875,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-08-12,5.14,375.5,-44310.52863343047,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-08-13,5.19,382.5,-45136.06483671989,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-08-14,5.22,380.0,-44841.18262125938,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-08-17,5.39,383.5,-45253.80572290409,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-08-18,5.3,383.8,-45289.27798875935,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-08-19,5.34,380.8,-44935.41533020675,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-08-20,5.42,377.8,-44581.51267165414,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-08-21,5.5,377.8,-44581.43267165414,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-08-24,5.41,386.5,-45607.608381456695,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-08-25,5.47,393.3,-46409.546407509275,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-08-26,5.52,388.0,-45784.409710733,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-08-27,5.63,395.0,-46609.88591402242,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-08-28,5.59,385.0,-45430.517052180396,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-08-31,5.64,385.0,-45430.46705218039,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-01,5.87,393.0,-46373.764141654014,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-02,5.66,382.0,-45076.62439362778,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-09-03,5.66,374.8,-44227.45001310152,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
