Date,WHEATSF,EIANYGR,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-07-07,5.02,1.23,4.28207134882084,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.0389352860023839,-0.3322675660994008
2020-07-08,5.26,1.263,4.511156969727279,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.02967991026082499,-0.3619474763602258
2020-07-09,5.35,1.215,4.617032430227004,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.008928253732124273,-0.37087573009235003
2020-07-10,5.44,1.244,4.6974410061750875,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.013353711598078633,-0.3575220184942714
2020-07-13,5.35,1.232,4.611409871300018,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.006412846993657634,-0.363934865487929
2020-07-14,5.38,1.229,4.642402087581251,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.044046392663800456,-0.4079812581517295
2020-07-15,5.63,1.238,4.889425438737552,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.020137356153062273,-0.3878439019986672
2020-07-16,5.47,1.207,4.7396783403102924,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.006396479129889868,-0.3942403811285571
2020-07-17,5.49,1.197,4.762985727914402,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.023792068294992693,-0.3704483128335644
2020-07-20,5.37,1.204,4.640670556591526,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.006072211194031275,-0.3643761016395331
2020-07-21,5.42,1.26,4.672149186008512,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.013177620230982947,-0.37755372187051606
2020-07-22,5.49,1.259,4.742479924768923,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.0003497164470634903,-0.37790343831757955
2020-07-23,5.44,1.223,4.704386520143718,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.012432841306637379,-0.3903362796242169
2020-07-24,5.54,1.245,4.797110267414676,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.0020161865663288338,-0.38832009305788806
2020-07-27,5.52,1.239,4.779094699977141,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.018535849462279215,-0.36978424359560885
2020-07-28,5.4,1.227,4.663063565102074,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.023135884474215995,-0.39292012806982485
2020-07-29,5.49,1.203,4.761001295351937,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.0018555790083266636,-0.3947757070781515
2020-07-30,5.47,1.183,4.747616070560156,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.011892900289155477,-0.406668607367307
2020-07-31,5.48,1.147,4.769522665934951,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.02824153535327728,-0.3784270720140297
2020-08-03,5.36,1.169,4.64224641320591,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.027082976513608307,-0.3513440955004214
2020-08-04,5.23,1.179,4.5089390256018,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.001528265397444441,-0.35287236089786583
2020-08-05,5.26,1.194,4.533977944195635,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.02205841384956758,-0.33081394704829825
2020-08-06,5.16,1.205,4.430339817831115,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.005315050968900164,-0.3254988960793981
2020-08-07,5.1,1.182,4.377946809320567,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.00476938523068296,-0.330268281310081
2020-08-10,5.16,1.207,4.429678340310293,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.01125456929643287,-0.3415228506065139
2020-08-11,5.17,1.173,4.450923458164265,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.019900694307646412,-0.3216221562988675
2020-08-12,5.14,1.223,4.404386520143717,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.009727626459144156,-0.33134978275801164
2020-08-13,5.19,1.223,4.454386520143718,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.002805591003539602,-0.33415537376155124
2020-08-14,5.22,1.234,4.480748393779196,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.026134529346627626,-0.3602899031081789
2020-08-17,5.39,1.258,4.642810663529333,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.019852488861399228,-0.34043741424677965
2020-08-18,5.3,1.27,4.548841798404402,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.005724200265748579,-0.34616161451252825
2020-08-19,5.34,1.277,4.586526627081525,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.011096323207641099,-0.35725793772016934
2020-08-20,5.42,1.292,4.66156554567536,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.020135932406917408,-0.37739387012708675
2020-08-21,5.5,1.271,4.748511059643991,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.04082425279056831,-0.33656961733651847
2020-08-24,5.41,1.365,4.6274216161653605,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.008667578431173634,-0.3452371957676921
2020-08-25,5.47,1.375,4.684114228561251,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.017800109915257,-0.36303730568294906
2020-08-26,5.52,1.339,4.746020823936045,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.041910919112074965,-0.404948224795024
2020-08-27,5.63,1.25,4.885456573612621,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.016100890020300754,-0.3888473347747233
2020-08-28,5.59,1.284,4.834211455758648,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.02053585552491059,-0.4093831902996339
