Date,PALLADM,LZZCASH,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2021-08-25,2481.0,3015.49,-3245.4259142389424,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.024057859315809053,1.0343343214425458
2021-08-26,2392.0,2992.25,-3298.798585347767,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.012917856362013492,1.0472521778045594
2021-08-27,2421.0,2990.7,-3267.4224080766257,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.0,1.0472521778045594
2021-08-30,2421.0,2990.7,-3267.4224080766257,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.02763516129437874,1.0748873390989382
2021-08-31,2492.0,2994.0,-3201.4813661377652,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.0032044528270689793,1.0780917919260071
2021-09-01,2470.0,2970.5,-3187.4554526720763,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.021897943790481673,1.0561938481355255
2021-09-02,2414.0,2969.0,-3241.155926280649,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.011625920982853455,1.044567927152672
2021-09-03,2407.0,2985.9,-3274.06392362406,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.01074047091183276,1.0338274562408392
2021-09-06,2394.0,2996.3,-3303.00730660462,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.021317322573054742,1.0125101336677844
2021-09-07,2387.0,3032.25,-3365.1192891191527,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.024346056473463207,0.9881640771943212
2021-09-08,2347.0,3047.26,-3428.1298832093657,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.052928519250895326,0.9352355579434258
2021-09-09,2239.0,3061.0,-3557.193544954837,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.04185451488245779,0.893381043060968
2021-09-10,2199.0,3108.9,-3670.625087721071,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.002361368883836836,0.8910196741771311
2021-09-13,2150.0,3068.5,-3657.691176911971,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.06233322209118897,0.8286864520859422
2021-09-14,1980.0,3035.0,-3776.3350875034353,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.006036972195087597,0.8226494798908546
2021-09-15,1994.0,3060.95,-3802.1168940751218,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.013772060384803476,0.8364215402756581
2021-09-16,2030.0,3069.5,-3779.2241945062556,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.005446018288242267,0.8309755219874158
2021-09-17,2023.0,3073.5,-3792.3562648833945,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.0033555093399067204,0.8343310313273224
2021-09-20,1953.0,2997.4,-3745.693625958333,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.006500181146847021,0.8278308501804754
2021-09-21,1901.0,2958.05,-3737.369383623233,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.0177822914333984,0.8456131416138738
2021-09-22,1985.0,3009.0,-3731.4766300520346,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.050949732516012994,0.7946634090978608
2021-09-23,1963.0,3087.25,-3873.4352568048084,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.02744409034643248,0.7672193187514283
2021-09-24,1943.0,3122.0,-3946.7076182061996,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.03574197044478761,0.8029612891962159
2021-09-27,1949.0,3055.5,-3838.7619481862707,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.00858610581867217,0.7943751833775438
2021-09-28,1944.0,3067.5,-3862.1581593176866,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.011133186448621393,0.7832419969289224
2021-09-29,1897.0,3041.4,-3869.1464001068575,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.03414517712289786,0.8173871740518203
2021-09-30,1899.0,2975.75,-3766.5037950420706,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.009101034170914204,0.8264882082227345
2021-10-01,1911.0,2970.35,-3746.2255000329337,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.013316907408743906,0.8131713008139906
2021-10-04,1918.0,3003.25,-3789.6617788848985,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.026231149659322328,0.7869401511546683
2021-10-05,1898.0,3034.21,-3857.124003603951,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.0015431770259765262,0.7884833281806448
2021-10-06,1871.0,3003.0,-3836.2785244863267,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.0116849249165389,0.7767984032641059
2021-10-07,1884.0,3039.5,-3879.233666677717,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.03196735891417851,0.8087657621782844
